Date,Price Open,Price Low,Price High,Price Close,Volume
2007-08-22,13455.538497683,13455.538497683,13455.538497683,13455.538497683,98380.0
2007-09-04,16819.423122104,16819.423122104,16987.617353325,16819.423122104,132380.0
2007-09-14,15742.98004229,15742.98004229,15742.98004229,15742.98004229,42400.0
2007-09-21,15608.424657313,15473.869272336,15608.424657313,15473.869272336,94000.0
2007-09-24,15473.869272336,15372.952733603,15473.869272336,15473.869272336,141800.0
2007-09-26,15810.257734778,15642.063503557,15810.257734778,15642.063503557,156010.0
2007-10-08,16987.617353325,16819.423122104,16987.617353325,16819.423122104,183310.0
2007-10-10,16987.617353325,16987.617353325,17155.811584546,16987.617353325,160450.0
2007-10-11,16987.617353325,16819.423122104,16987.617353325,16819.423122104,157910.0
2007-10-16,16516.673505906,16516.673505906,16819.423122104,16819.423122104,177860.0
2007-10-17,16819.423122104,16819.423122104,17155.811584546,16819.423122104,234710.0
2007-10-23,16113.007350976,16045.729658488,16314.840428441,16045.729658488,141260.0
2007-10-24,16045.729658488,15810.257734778,16146.64619722,16146.64619722,148070.0
2007-10-26,16281.201582197,16146.64619722,16483.034659662,16146.64619722,133770.0
2007-11-15,13993.760037591,13791.926960126,13993.760037591,13791.926960126,87800.0
2007-11-16,13791.926960126,13657.371575149,13791.926960126,13791.926960126,35180.0
2007-11-19,13791.926960126,13691.010421393,13791.926960126,13691.010421393,27110.0
2007-11-22,13287.344266462,13287.344266462,13455.538497683,13455.538497683,113800.0
2007-11-23,13455.538497683,13388.260805195,13455.538497683,13388.260805195,34250.0
2007-11-26,13388.260805195,13388.260805195,13421.899651439,13388.260805195,86090.0
2007-11-27,13388.260805195,13388.260805195,13724.649267637,13388.260805195,60470.0
2007-11-28,13388.260805195,13388.260805195,13455.538497683,13455.538497683,149360.0
2007-11-29,13455.538497683,13421.899651439,13455.538497683,13455.538497683,41330.0
2007-11-30,13455.538497683,13388.260805195,13455.538497683,13388.260805195,44610.0
2007-12-03,13388.260805195,13388.260805195,13455.538497683,13388.260805195,32230.0
2007-12-04,13388.260805195,13354.621958951,13421.899651439,13354.621958951,51910.0
2007-12-05,13354.621958951,13320.983112707,13354.621958951,13320.983112707,27740.0
2007-12-07,13119.150035241,12984.594650265,13119.150035241,13119.150035241,74880.0
2007-12-12,12446.373110357,12446.373110357,12749.122726555,12749.122726555,34550.0
2007-12-18,12109.984647915,11975.429262938,12109.984647915,12109.984647915,33550.0
2007-12-20,12446.373110357,12278.178879136,12715.483880311,12278.178879136,37810.0
2007-12-21,12278.178879136,12177.262340404,12278.178879136,12177.262340404,47290.0
2007-12-27,11941.790416694,11941.790416694,12109.984647915,12042.706955427,49370.0
2008-01-03,12379.095417869,12109.984647915,12379.095417869,12109.984647915,27930.0
2008-01-08,11470.846569275,11470.846569275,11840.873877961,11504.485415519,40180.0
2008-01-09,11504.485415519,11100.819260589,11639.040800496,11100.819260589,65100.0
2008-01-17,10259.848104484,10091.653873263,10663.514259414,10125.292719507,93140.0
2008-01-18,10125.292719507,10091.653873263,10360.764643216,10360.764643216,45830.0
2008-01-24,9452.515794623,9351.59925589,9755.265410821,9351.59925589,48000.0
2008-01-25,9351.59925589,9082.488485936,9418.876948378,9351.59925589,36810.0
