Date,Price Open,Price Low,Price High,Price Close,Volume
2007-10-04,10105.125992079,10105.125992079,10105.125992079,10105.125992079,36066.0
2007-10-08,10526.172908415,10526.172908415,11052.481553836,11052.481553836,3646.0
2007-10-10,11578.790199257,11578.790199257,12105.098844677,12105.098844677,3683.0
2007-10-31,20420.775442325,19473.419880568,21262.869274999,21262.869274999,884014.0
2007-11-05,23368.103856682,22315.48656584,24420.721147523,24420.721147523,321499.0
2007-11-08,23578.62731485,22526.010024008,23578.62731485,22526.010024008,140765.0
2007-11-09,22526.010024008,21473.392733167,22526.010024008,22526.010024008,463285.0
2007-11-14,21683.916191335,21052.34581683,21683.916191335,21683.916191335,818080.0
2007-11-16,20631.298900494,19683.943338736,20631.298900494,19999.728525989,908009.0
2007-11-19,19999.728525989,19999.728525989,20947.084087746,20947.084087746,134675.0
2007-11-20,20947.084087746,20420.775442325,20947.084087746,20631.298900494,105172.0
2007-11-22,19789.20506782,18841.849506063,19789.20506782,18841.849506063,168882.0
2007-11-23,18841.849506063,18841.849506063,18947.111235147,18947.111235147,89236.0
2007-11-27,19789.20506782,19368.158151484,19894.466796905,19578.681609652,63453.0
2007-11-29,19683.943338736,19683.943338736,19999.728525989,19999.728525989,46678.0
2007-11-30,19999.728525989,19789.20506782,20526.037171409,20526.037171409,65897.0
2007-12-03,20526.037171409,20104.990255073,20736.560629578,20736.560629578,119796.0
2007-12-04,20736.560629578,20420.775442325,20736.560629578,20526.037171409,146782.0
2007-12-06,19999.728525989,19683.943338736,20420.775442325,20420.775442325,185183.0
2007-12-07,20420.775442325,19894.466796905,20420.775442325,19894.466796905,21078.0
2007-12-10,19894.466796905,19578.681609652,19894.466796905,19578.681609652,54008.0
2007-12-11,19578.681609652,19473.419880568,19578.681609652,19473.419880568,84094.0
2007-12-12,19473.419880568,19157.634693316,19578.681609652,19157.634693316,29392.0
2007-12-13,19157.634693316,18947.111235147,19473.419880568,19473.419880568,19473.0
2007-12-14,19473.419880568,19368.158151484,19894.466796905,19894.466796905,125230.0
2007-12-17,19894.466796905,19473.419880568,19894.466796905,19473.419880568,33987.0
2007-12-20,20841.822358662,20631.298900494,21262.869274999,20841.822358662,123151.0
2007-12-21,20841.822358662,20631.298900494,20841.822358662,20841.822358662,33659.0
2007-12-24,20841.822358662,20841.822358662,21473.392733167,21473.392733167,229017.0
2008-01-08,18405.771209905,17967.53856205,18515.329371869,18405.771209905,75670.0
2008-01-09,18405.771209905,17529.305914195,18624.887533832,17529.305914195,60791.0
2008-01-10,17529.305914195,16652.840618485,18405.771209905,18405.771209905,79244.0
2008-01-11,18405.771209905,18077.096724014,18734.445695796,18077.096724014,35738.0
2008-01-15,17967.53856205,17091.07326634,18405.771209905,17529.305914195,161005.0
2008-01-16,17529.305914195,17529.305914195,18405.771209905,18405.771209905,73373.0
2008-01-17,18405.771209905,17638.864076159,18405.771209905,17638.864076159,42411.0
2008-01-18,17638.864076159,17529.305914195,18186.654885978,18186.654885978,55686.0
2008-01-21,18186.654885978,18186.654885978,18844.00385776,18844.00385776,115967.0
2008-01-22,18844.00385776,18405.771209905,18844.00385776,18844.00385776,68887.0
2008-01-23,18844.00385776,18077.096724014,18844.00385776,18515.329371869,63709.0
2008-01-24,18515.329371869,18405.771209905,19063.120181687,18405.771209905,70054.0
2008-01-25,18405.771209905,18186.654885978,18844.00385776,18844.00385776,61448.0
2008-01-28,18844.00385776,18624.887533832,19282.236505615,19282.236505615,57764.0
2008-01-29,19282.236505615,18844.00385776,19939.585477397,19939.585477397,119067.0
2008-01-30,19939.585477397,19939.585477397,20925.608935071,20816.050773107,173987.0
2008-01-31,20816.050773107,19939.585477397,21035.167097034,21035.167097034,91461.0
2008-02-12,21911.632392744,21911.632392744,23007.214012381,23007.214012381,254799.0
2008-02-13,23007.214012381,22130.748716672,23007.214012381,23007.214012381,197618.0
2008-02-14,23007.214012381,22568.981364526,23007.214012381,22568.981364526,91643.0
2008-02-19,20487.376287216,19720.46915347,21144.725258998,21144.725258998,97150.0
2008-02-20,21144.725258998,20158.701801325,21144.725258998,20158.701801325,113232.0
2008-02-26,19172.678343651,18296.213047941,19720.46915347,19720.46915347,175737.0
2008-02-28,18734.445695796,18186.654885978,19063.120181687,18734.445695796,36030.0
2008-03-10,17091.07326634,16652.840618485,17857.980400086,16652.840618485,199916.0
2008-03-11,16652.840618485,15995.491646703,16652.840618485,15995.491646703,131940.0
2008-03-12,15995.491646703,15776.375322776,16762.398780449,16433.724294558,101635.0
2008-03-13,16433.724294558,16105.049808667,16762.398780449,16652.840618485,72898.0
2008-03-14,16652.840618485,16433.724294558,16652.840618485,16543.282456522,92117.0
2008-03-17,16543.282456522,15776.375322776,16543.282456522,15776.375322776,158415.0
2008-03-19,15009.46818903,14352.119217247,15557.258998848,14352.119217247,232955.0
2008-03-20,14352.119217247,13804.328407429,14899.910027066,13804.328407429,90111.0
2008-03-26,11941.839654046,11394.048844227,12489.630463864,11503.607006191,119504.0
2008-04-08,12489.630463864,12270.514139937,12708.746787792,12708.746787792,241708.0
2008-04-09,12708.746787792,12489.630463864,12708.746787792,12489.630463864,54519.0
2008-04-11,12270.514139937,12051.397816009,12270.514139937,12051.397816009,13711.0
2008-04-17,11832.281492082,11613.165168154,12051.397816009,12051.397816009,55941.0
2008-04-24,11174.932520299,10955.816196372,11394.048844227,10955.816196372,137957.0
2008-04-25,10955.816196372,10955.816196372,11174.932520299,11174.932520299,234341.0
