Date,Price Open,Price Low,Price High,Price Close,Volume
2008-07-22,4468.103483092,1641.344136646,7294.862829538,1702.134660225,138514.0
2008-08-05,2589.676304486,2492.411466759,2686.941142213,2686.941142213,384387.0
2008-08-08,2857.154608236,2747.731665793,2966.577550679,2784.20597994,175768.0
2008-08-11,2784.20597994,2735.573561077,2954.419445963,2735.573561077,77216.0
2008-08-12,2735.573561077,2662.624932781,2881.470817667,2662.624932781,119210.0
2008-08-14,2577.51819977,2492.411466759,2686.941142213,2686.941142213,198458.0
2008-08-15,2686.941142213,2674.783037497,2735.573561077,2735.573561077,215730.0
2008-08-18,2735.573561077,2553.201990338,2917.945131815,2735.573561077,88730.0
2008-08-21,2322.198000736,2164.14263943,2480.253362043,2455.937152611,202861.0
2008-08-22,2455.937152611,2188.458848861,2468.095257327,2273.565581873,139869.0
2008-08-27,2553.201990338,2382.988524316,2723.415456361,2553.201990338,98552.0
2008-09-01,2322.198000736,2322.198000736,2322.198000736,2322.198000736,9144.0
2008-09-03,2322.198000736,2164.14263943,2480.253362043,2480.253362043,212682.0
2008-09-04,2480.253362043,2261.407477157,2565.360095054,2431.620943179,82296.0
2008-09-05,2431.620943179,2261.407477157,2553.201990338,2419.462838463,107357.0
2008-09-08,2419.462838463,2261.407477157,2492.411466759,2431.620943179,63669.0
2008-09-09,2431.620943179,2370.8304196,2553.201990338,2419.462838463,75522.0
2008-09-10,2419.462838463,2310.03989602,2553.201990338,2310.03989602,29464.0
2008-09-11,2310.03989602,2249.249372441,2370.8304196,2249.249372441,48429.0
2008-09-15,2115.510220566,1981.771068691,2273.565581873,2091.194011134,29802.0
2008-09-17,1981.771068691,1848.031916816,1981.771068691,1848.031916816,41656.0
2008-09-19,1775.083288521,1775.083288521,1908.822440396,1908.822440396,15578.0
2008-09-23,2006.087278123,1884.506230964,2042.561592271,1884.506230964,36237.0
2008-09-24,1884.506230964,1835.8738121,1969.612963975,1884.506230964,17610.0
2008-09-25,1884.506230964,1775.083288521,1933.138649828,1933.138649828,46058.0
2008-09-26,1933.138649828,1750.767079089,1945.296754543,1848.031916816,19304.0
2008-09-29,1848.031916816,1787.241393237,1884.506230964,1884.506230964,11514.0
2008-10-06,2054.719696986,1945.296754543,2127.668325282,1981.771068691,16933.0
2008-10-09,1811.557602669,1762.925183805,1945.296754543,1823.715707384,22352.0
2008-10-10,1823.715707384,1738.608974373,1823.715707384,1738.608974373,44365.0
2008-10-15,1920.980545112,1920.980545112,2006.087278123,1945.296754543,31834.0
2008-10-17,1896.66433568,1762.925183805,1945.296754543,1823.715707384,11853.0
2008-10-22,1823.715707384,1811.557602669,1848.031916816,1811.557602669,11853.0
2008-10-28,1604.869822498,1592.711717782,1604.869822498,1604.869822498,55880.0
2008-10-30,1702.134660225,1689.97655551,1787.241393237,1689.97655551,11514.0
2008-11-06,1799.399497953,1799.399497953,1799.399497953,1799.399497953,677.0
2008-11-24,1556.237403635,1556.237403635,1556.237403635,1556.237403635,22352.0
2008-11-27,1434.656356476,1349.549623464,1446.814461192,1349.549623464,27093.0
2008-12-03,1458.972565908,1458.972565908,1507.604984771,1458.972565908,4402.0
2008-12-10,1386.023937612,1361.70772818,1446.814461192,1446.814461192,5080.0
2008-12-15,1410.340147044,1410.340147044,1434.656356476,1410.340147044,8805.0
2008-12-16,1410.340147044,1398.182042328,1410.340147044,1398.182042328,11514.0
2008-12-17,1398.182042328,1386.023937612,1410.340147044,1410.340147044,9821.0
2008-12-18,1410.340147044,1398.182042328,1446.814461192,1398.182042328,3048.0
2008-12-25,1434.656356476,1434.656356476,1434.656356476,1434.656356476,9821.0
