Date,Price Open,Price Low,Price High,Price Close,Volume
2010-04-21,38526.748937295,30821.399149836,46232.098724754,46232.098724754,17386.0
2010-04-22,46232.098724754,44382.814775764,47310.847694998,44382.814775764,36143.0
2010-04-28,40453.086384159,37756.213958549,43304.065805519,41223.621362905,109061.0
2010-05-07,50161.827116358,46694.419712001,50470.041107856,47079.687201374,43624.0
2010-05-10,47079.687201374,44845.135763011,47310.847694998,46232.098724754,34562.0
2010-05-11,46232.098724754,44151.65428214,48389.596665242,46077.991729004,19283.0
2010-05-12,46077.991729004,43227.012307645,47773.168682245,43227.012307645,70494.0
2010-05-13,43227.012307645,40376.032886285,45461.563746008,40838.353873532,47628.0
2010-05-14,40838.353873532,38603.802435169,43612.279797018,43612.279797018,8535.0
2010-05-17,43612.279797018,39759.604903288,43920.493788516,41608.888852278,3793.0
2010-05-18,41608.888852278,40067.818894787,42764.691320397,40067.818894787,14120.0
2010-05-19,40067.818894787,37987.374452173,43149.95880977,37987.374452173,15595.0
2010-05-20,37987.374452173,37216.839473427,42379.423831024,41223.621362905,37512.0
2010-05-25,35059.341532938,32747.736596701,37293.892971301,33903.539064819,21601.0
2010-05-27,38372.641941546,36985.678979803,41223.621362905,38989.069924542,28977.0
2010-06-02,40221.925890536,38526.748937295,41531.835354404,39605.497907539,9483.0
2010-06-04,41608.888852278,40067.818894787,43766.386792767,43766.386792767,18756.0
2010-06-07,43766.386792767,40453.086384159,45461.563746008,42687.637822523,17492.0
2010-06-09,42302.37033315,40915.407371407,43920.493788516,41994.156341651,37934.0
2010-06-11,44613.975269387,44151.65428214,45461.563746008,44228.707780014,40463.0
2010-06-14,44228.707780014,44228.707780014,46155.045226879,44691.028767262,5900.0
2010-06-15,44691.028767262,42379.423831024,45923.884733255,44691.028767262,22655.0
2010-06-16,44691.028767262,44691.028767262,46925.580205625,46925.580205625,26343.0
2010-06-18,49853.613124859,48928.971150364,52396.378554721,51625.843575975,32138.0
2010-06-21,51625.843575975,49314.238639737,52319.325056846,49314.238639737,16649.0
2010-06-22,49314.238639737,46771.473209876,51934.057567473,50470.041107856,10010.0
2010-06-24,48158.436171618,44922.189260886,48389.596665242,47850.22218012,4004.0
2010-06-25,47850.22218012,44074.600784265,48543.703660991,45384.510248133,4847.0
2010-06-29,47773.168682245,44691.028767262,51086.469090853,47773.168682245,2423.0
2010-06-30,47773.168682245,44536.921771513,51086.469090853,47696.115184371,15173.0
2010-07-02,46540.312716252,44305.761277889,46925.580205625,44305.761277889,6322.0
2010-07-05,44305.761277889,43920.493788516,48543.703660991,43920.493788516,5479.0
2010-07-16,42610.584324648,40530.139882034,43766.386792767,43766.386792767,9483.0
2010-08-03,43072.905311895,41608.888852278,44228.707780014,41608.888852278,17175.0
2010-08-05,42148.2633374,39528.444409664,42687.637822523,39528.444409664,7481.0
2010-08-11,41994.156341651,40067.818894787,43920.493788516,40067.818894787,1475.0
2010-08-16,38680.855933044,38526.748937295,41223.621362905,38526.748937295,4847.0
2010-08-18,37062.732477678,36215.144001057,39528.444409664,36215.144001057,5268.0
2010-08-20,36523.357992555,33980.592562694,39066.123422417,36215.144001057,6533.0
2010-08-23,36215.144001057,33133.004086073,37910.320954298,36061.037005308,1685.0
2010-08-24,36061.037005308,32824.790094575,37370.946469176,32824.790094575,7797.0
2010-08-30,38449.69543942,37756.213958549,39220.230418166,37756.213958549,2423.0
2010-09-08,39836.658401163,37062.732477678,42533.530826773,37062.732477678,1896.0
2010-09-14,33364.164579697,31823.094622205,36600.41149043,34134.699558443,11169.0
2010-09-15,34134.699558443,32362.469107328,34674.074043565,34211.753056318,5690.0
2010-09-20,35444.609022311,33595.325073321,37602.1069628,34674.074043565,15279.0
2010-09-23,33749.43206907,31591.934128582,35829.876511684,33826.485566945,8113.0
2010-09-24,33826.485566945,31977.201617955,34905.234537189,31977.201617955,1264.0
2010-09-28,32593.629600951,30898.45264771,34674.074043565,32978.897090324,3161.0
2010-09-29,32978.897090324,30744.345651961,33055.950588199,30744.345651961,12012.0
2010-09-30,30744.345651961,29742.650179592,32285.415609453,29973.810673215,22233.0
2010-10-01,29973.810673215,27739.259234852,30127.917668964,29973.810673215,22866.0
2010-10-07,29896.757175341,28201.5802221,31977.201617955,29896.757175341,9062.0
2010-10-08,29896.757175341,28663.901209347,30898.45264771,28663.901209347,3688.0
2010-10-11,28663.901209347,27662.205736978,30590.238656212,28509.794213598,2845.0
2010-10-20,22884.888868753,21189.711915512,23038.995864502,22191.407387882,7270.0
2010-10-27,22268.460885756,21266.765413387,23424.263353875,21266.765413387,3582.0
2010-11-01,22576.674877255,22345.514383631,23424.263353875,22807.835370878,17597.0
2010-11-02,22807.835370878,21806.139898509,23578.370349624,21960.246894258,8640.0
2010-11-03,21960.246894258,21420.872409136,22807.835370878,21420.872409136,12539.0
2010-11-10,20496.230434641,19648.64195802,21112.658417638,19648.64195802,17702.0
2010-11-15,19340.427966522,19263.374468647,20573.283932515,19263.374468647,9062.0
2010-11-17,18646.946485651,17414.090519657,18878.106979274,17414.090519657,15911.0
2010-11-18,17414.090519657,17182.930026033,19263.374468647,18184.625498403,43097.0
2010-11-19,18184.625498403,17182.930026033,18801.0534814,17182.930026033,20442.0
2010-11-22,17182.930026033,16489.448545162,17337.037021783,17337.037021783,11801.0
2010-11-23,17337.037021783,15795.967064291,17722.304511156,16720.609038786,28345.0
2010-11-24,16720.609038786,16181.234553664,17491.144017532,16335.341549413,30769.0
2010-11-29,18261.678996278,17953.465004779,19494.534962271,19494.534962271,9167.0
2010-11-30,19494.534962271,19032.213975024,19879.802451644,19879.802451644,19388.0
2010-12-01,19879.802451644,18492.839489901,20419.176936766,18492.839489901,13171.0
2010-12-06,21652.03290276,20265.069941017,22037.300392133,20265.069941017,24552.0
2010-12-07,20265.069941017,20110.962945268,21112.658417638,20110.962945268,25078.0
2010-12-10,19648.64195802,19648.64195802,20650.33743039,20650.33743039,15173.0
2010-12-15,19648.64195802,18878.106979274,19956.855949519,19263.374468647,8429.0
2010-12-16,19263.374468647,18261.678996278,20188.016443142,18569.892987776,2950.0
2010-12-17,18569.892987776,18107.572000529,19879.802451644,19263.374468647,3898.0
2010-12-21,20188.016443142,20110.962945268,20650.33743039,20188.016443142,2739.0
2010-12-22,20188.016443142,19340.427966522,21343.818911261,21035.604919763,1791.0
2010-12-28,19956.855949519,19263.374468647,20188.016443142,19263.374468647,8640.0
2011-01-12,19802.748953769,19648.64195802,20033.909447393,19879.802451644,2845.0
2011-01-13,19879.802451644,19879.802451644,20958.551421888,20958.551421888,10958.0
2011-01-19,20573.283932515,20033.909447393,20881.497924014,20033.909447393,7903.0
2011-01-27,19263.374468647,18184.625498403,19494.534962271,18184.625498403,1685.0
2011-02-08,17799.35800903,17028.823030284,17799.35800903,17028.823030284,1791.0
2011-02-11,19417.481464397,19417.481464397,19494.534962271,19417.481464397,948.0
2011-02-15,19417.481464397,19417.481464397,19417.481464397,19417.481464397,526.0
2011-03-10,17259.983523908,16951.76953241,17722.304511156,17259.983523908,2634.0
2011-03-18,16951.76953241,16874.716034535,16951.76953241,16951.76953241,2002.0
2011-03-21,16951.76953241,16181.234553664,17337.037021783,16951.76953241,2634.0
2011-03-22,16951.76953241,16335.341549413,17259.983523908,16335.341549413,19494.0
2011-04-08,16181.234553664,15102.48558342,17259.983523908,17259.983523908,737.0
2011-04-25,15102.48558342,14254.897106799,15410.699574918,14254.897106799,1791.0
2011-05-18,10094.008221571,10016.954723697,10633.382706693,10016.954723697,2739.0
2011-05-19,10016.954723697,10016.954723697,10094.008221571,10016.954723697,1580.0
2011-05-20,10016.954723697,10016.954723697,10016.954723697,10016.954723697,3161.0
2011-05-24,10171.061719446,10016.954723697,10402.22221307,10402.22221307,31822.0
2011-05-25,10402.22221307,9554.633736449,10941.596698192,10248.11521732,28766.0
