Date,Price Open,Price Low,Price High,Price Close,Volume
2007-12-13,7329.9985685195,5899.042672673,8760.954464366,6775.138119109,729804.0
2007-12-19,4917.815772664,4438.883595279,5408.429222668,5408.429222668,328667.0
2007-12-24,5314.979041715,5022.947226236,5490.198131002,5110.55677088,112277.0
2007-12-25,5110.55677088,5005.425317308,5133.919316118,5022.947226236,172499.0
2007-12-26,5022.947226236,4964.54086314,5139.759952428,5139.759952428,235782.0
2007-12-27,5139.759952428,5022.947226236,5139.759952428,5052.150407784,97987.0
2007-12-28,5052.150407784,5022.947226236,5081.353589332,5069.672316713,24496.0
2008-01-08,4222.780051824,4146.8517798,4380.477232183,4146.8517798,203120.0
2008-01-10,4234.461324443,3860.66060063,4520.652503613,4088.445416704,101049.0
2008-01-11,4088.445416704,4030.039053608,4444.724231588,4088.445416704,71449.0
2008-01-14,4088.445416704,3831.457419083,4526.493139922,4059.242235156,40828.0
2008-01-16,3527.744330985,3516.063058365,3884.023145869,3884.023145869,242927.0
2008-01-17,3884.023145869,3738.007238129,4199.417506586,3819.776146463,293963.0
2008-01-21,3913.226327417,3796.413601225,4292.867687539,3796.413601225,52055.0
2008-01-22,3796.413601225,3708.804056581,4263.664505991,3767.210419677,207203.0
2008-01-24,3732.16660182,3662.078966105,3913.226327417,3708.804056581,96967.0
2008-01-25,3708.804056581,3708.804056581,3854.819964321,3708.804056581,112277.0
2008-01-28,3708.804056581,3422.612877412,4006.67650837,3504.381785746,50014.0
2008-01-29,3504.381785746,3504.381785746,3854.819964321,3621.194511938,194954.0
2008-01-30,3621.194511938,3621.194511938,4012.517144679,4012.517144679,235782.0
2008-01-31,4012.517144679,3854.819964321,4392.158504802,3971.632690512,17351.0
2008-02-01,3971.632690512,3738.007238129,4030.039053608,3965.792054203,144940.0
2008-02-14,3650.397693486,3650.397693486,3813.935510154,3667.919602414,71449.0
2008-02-15,3667.919602414,3621.194511938,3673.760238724,3673.760238724,188830.0
2008-02-19,3504.381785746,3445.97542265,3726.32596551,3475.178604198,62263.0
2008-02-20,3475.178604198,3153.943607172,3679.600875034,3323.322060149,94925.0
2008-02-21,3323.322060149,2873.593064312,3481.019240508,2873.593064312,88801.0
2008-02-22,2873.593064312,2622.445703,2914.477518479,2902.79624586,273549.0
2008-02-26,3037.13088098,2710.055247644,3066.334062528,2710.055247644,120443.0
2008-02-27,2710.055247644,2686.692702405,2861.911791693,2745.099065501,31641.0
2008-02-28,2745.099065501,2528.995522047,2803.505428597,2628.28633931,41848.0
2008-02-29,2628.28633931,2423.864068474,2628.28633931,2423.864068474,112277.0
2008-03-03,2423.864068474,2236.963706568,2482.27043157,2248.644979187,110236.0
2008-03-04,2248.644979187,2032.541435733,2394.660886927,2032.541435733,117381.0
2008-03-11,2488.11106788,2336.254523831,2733.417792882,2394.660886927,232720.0
2008-03-14,2613.371584572,2522.207459529,2643.759626253,2576.905934555,66345.0
2008-03-21,2327.72399277,2187.939001037,2358.112034451,2218.327042718,95946.0
2008-03-26,1823.282500864,1823.282500864,1975.22270927,1956.989884261,403178.0
2008-03-27,1956.989884261,1944.834667589,1969.145100933,1969.145100933,28579.0
2008-04-09,2285.180734417,2248.715084399,2370.267251124,2248.715084399,42869.0
2008-04-17,2169.706176029,2108.930092666,2230.482259391,2224.404651054,196996.0
2008-04-21,2078.542050985,2066.386834313,2133.240526011,2127.162917675,41848.0
2008-04-25,1950.912275925,1896.213800899,2005.610750951,1896.213800899,54097.0
2008-04-28,1896.213800899,1847.592934209,1956.989884261,1944.834667589,96967.0
2008-05-05,1871.903367554,1829.360109201,1938.757059252,1829.360109201,36745.0
2008-05-07,1780.739242511,1732.118375821,1829.360109201,1732.118375821,3062.0
2008-05-09,1750.35120083,1738.195984157,1835.437717537,1738.195984157,3062.0
2008-05-13,1756.428809166,1750.35120083,1835.437717537,1750.35120083,3062.0
2008-06-16,1239.832100588,1203.36645057,1276.297750605,1276.297750605,352143.0
2008-06-18,1270.220142269,1233.754492252,1306.685792286,1233.754492252,103091.0
2008-07-01,990.650158803,954.184508786,1027.11580882,1027.11580882,145960.0
2008-07-02,1027.11580882,954.184508786,1027.11580882,1027.11580882,154126.0
2008-07-07,1075.73667551,1033.193417156,1118.279933863,1033.193417156,249052.0
2008-07-09,1051.426242165,1027.11580882,1057.503850501,1057.503850501,171478.0
2008-07-10,1057.503850501,1002.805375475,1075.73667551,1051.426242165,363371.0
2008-07-11,1051.426242165,1051.426242165,1063.581458838,1063.581458838,430737.0
2008-07-14,1063.581458838,1021.038200484,1106.124717191,1106.124717191,299066.0
2008-07-16,1136.512758872,1093.969500519,1179.056017226,1179.056017226,426654.0
2008-07-17,1179.056017226,1154.745583881,1197.288842234,1197.288842234,508311.0
2008-07-18,1197.288842234,1154.745583881,1197.288842234,1154.745583881,102070.0
2008-07-28,972.417333794,935.951683777,972.417333794,960.262117122,529746.0
2008-07-29,960.262117122,905.563642096,978.494942131,978.494942131,176582.0
2008-07-30,978.494942131,978.494942131,1014.960592148,1014.960592148,357246.0
2008-07-31,1014.960592148,972.417333794,1045.348633829,1045.348633829,535870.0
2008-08-01,1045.348633829,1021.038200484,1069.659067174,1069.659067174,343977.0
2008-08-04,1069.659067174,1069.659067174,1106.124717191,1081.814283846,413385.0
2008-08-06,1063.581458838,1021.038200484,1106.124717191,1093.969500519,502187.0
2008-08-07,1093.969500519,1045.348633829,1118.279933863,1081.814283846,150043.0
2008-08-08,1081.814283846,1045.348633829,1106.124717191,1063.581458838,144940.0
2008-08-11,1063.581458838,1051.426242165,1130.435150536,1130.435150536,666520.0
2008-08-13,1166.900800553,1118.279933863,1172.978408889,1130.435150536,389909.0
2008-08-14,1130.435150536,1124.3575422,1172.978408889,1172.978408889,407261.0
2008-08-19,1288.452967277,1197.288842234,1337.073833967,1197.288842234,377661.0
2008-08-20,1197.288842234,1172.978408889,1215.521667243,1172.978408889,414406.0
2008-08-21,1172.978408889,1106.124717191,1264.142533933,1264.142533933,484835.0
2008-08-22,1264.142533933,1245.909708924,1306.685792286,1306.685792286,774715.0
2008-09-01,1792.894459183,1762.506417502,1792.894459183,1792.894459183,728783.0
2008-09-08,2187.939001037,2035.998792632,2339.879209443,2066.386834313,1536161.0
2008-09-09,2066.386834313,1987.377925942,2187.939001037,1987.377925942,664479.0
2008-09-15,1665.264684123,1549.790125735,1713.885550812,1549.790125735,1096237.0
2008-09-19,1270.220142269,1185.133625562,1355.306658976,1355.306658976,602216.0
2008-09-23,1403.927525666,1306.685792286,1495.091650709,1397.849917329,712452.0
2008-09-24,1397.849917329,1282.375358941,1403.927525666,1294.530575614,178623.0
2008-09-29,1464.703609028,1379.617092321,1549.790125735,1397.849917329,476669.0
2008-10-02,1258.064925596,1251.98731726,1355.306658976,1355.306658976,168416.0
2008-10-03,1355.306658976,1227.676883915,1367.461875648,1367.461875648,190871.0
2008-10-06,1367.461875648,1337.073833967,1422.160350674,1422.160350674,207203.0
2008-10-07,1422.160350674,1324.918617295,1507.246867381,1428.23795901,749197.0
2008-10-08,1428.23795901,1337.073833967,1434.315567347,1337.073833967,194954.0
2008-10-09,1337.073833967,1245.909708924,1416.082742338,1337.073833967,421551.0
2008-10-13,1209.444058907,1136.512758872,1276.297750605,1136.512758872,281714.0
2008-10-16,1343.151442303,1251.98731726,1422.160350674,1373.539483984,748177.0
2008-10-17,1373.539483984,1270.220142269,1452.548392355,1355.306658976,881889.0
2008-10-21,1215.521667243,1185.133625562,1276.297750605,1215.521667243,491980.0
2008-10-22,1215.521667243,1136.512758872,1215.521667243,1166.900800553,207203.0
2008-10-24,1075.73667551,1045.348633829,1148.667975545,1063.581458838,282735.0
2008-10-28,978.494942131,911.641250432,1033.193417156,1021.038200484,177602.0
2008-10-30,1051.426242165,1033.193417156,1124.3575422,1124.3575422,327646.0
2008-10-31,1124.3575422,1093.969500519,1166.900800553,1166.900800553,417468.0
2008-11-04,1142.590367208,1100.047108855,1185.133625562,1185.133625562,191892.0
2008-11-10,1124.3575422,1093.969500519,1124.3575422,1100.047108855,445027.0
2008-11-12,1063.581458838,1021.038200484,1100.047108855,1093.969500519,191892.0
2008-11-13,1093.969500519,1069.659067174,1118.279933863,1112.202325527,28579.0
2008-11-17,1130.435150536,1100.047108855,1154.745583881,1154.745583881,112277.0
2008-11-18,1154.745583881,1154.745583881,1221.599275579,1215.521667243,310294.0
2008-11-19,1215.521667243,1209.444058907,1245.909708924,1215.521667243,220472.0
2008-11-21,1166.900800553,1093.969500519,1203.36645057,1142.590367208,90842.0
2008-11-25,1160.823192217,1154.745583881,1209.444058907,1154.745583881,75532.0
2008-11-26,1154.745583881,1087.891892182,1203.36645057,1087.891892182,176582.0
2008-11-27,1087.891892182,1051.426242165,1124.3575422,1051.426242165,105132.0
2008-12-01,1130.435150536,1118.279933863,1136.512758872,1118.279933863,13269.0
2008-12-02,1118.279933863,1069.659067174,1124.3575422,1093.969500519,73490.0
2008-12-03,1093.969500519,1087.891892182,1148.667975545,1087.891892182,77573.0
2008-12-04,1087.891892182,1081.814283846,1112.202325527,1087.891892182,78594.0
2008-12-08,1063.581458838,1008.882983812,1124.3575422,1021.038200484,67366.0
2008-12-10,1087.891892182,1063.581458838,1112.202325527,1063.581458838,7144.0
2008-12-11,1063.581458838,1021.038200484,1093.969500519,1087.891892182,86759.0
2008-12-12,1087.891892182,1081.814283846,1100.047108855,1100.047108855,77573.0
2008-12-15,1100.047108855,1093.969500519,1124.3575422,1112.202325527,62263.0
2008-12-16,1112.202325527,1063.581458838,1130.435150536,1087.891892182,222513.0
2008-12-22,1142.590367208,1135.985509691,1149.194643524,1149.194643524,95946.0
2008-12-25,1301.099682611,1287.890548777,1380.354485612,1287.890548777,436861.0
2008-12-29,1248.263147276,1221.844879609,1320.913383361,1248.263147276,184747.0
2008-12-30,1248.263147276,1241.658580359,1268.076848027,1254.867714193,141878.0
2008-12-31,1254.867714193,1248.263147276,1294.495115694,1274.681414943,125546.0
2009-01-05,1254.867714193,1215.240312692,1268.076848027,1268.076848027,17351.0
2009-01-06,1268.076848027,1254.867714193,1314.308816444,1314.308816444,112277.0
2009-01-07,1314.308816444,1294.495115694,1334.122517195,1294.495115694,173519.0
2009-01-08,1294.495115694,1294.495115694,1393.563619446,1380.354485612,610381.0
2009-01-13,1353.936217945,1320.913383361,1380.354485612,1320.913383361,17351.0
2009-01-14,1320.913383361,1287.890548777,1353.936217945,1301.099682611,34703.0
2009-01-15,1301.099682611,1241.658580359,1301.099682611,1241.658580359,117381.0
2009-01-19,1254.867714193,1221.844879609,1314.308816444,1221.844879609,32662.0
2009-01-21,1228.449446526,1215.240312692,1248.263147276,1221.844879609,54097.0
2009-01-22,1221.844879609,1208.635745775,1241.658580359,1221.844879609,72470.0
2009-01-23,1221.844879609,1215.240312692,1221.844879609,1221.844879609,44911.0
2009-02-02,1221.844879609,1155.799210441,1254.867714193,1162.403777358,159230.0
2009-02-03,1162.403777358,1116.17180894,1254.867714193,1135.985509691,329687.0
2009-02-04,1135.985509691,1102.962675107,1155.799210441,1135.985509691,120443.0
2009-02-05,1135.985509691,1096.35810819,1169.008344275,1096.35810819,38786.0
2009-02-06,1096.35810819,1089.753541273,1122.776375857,1116.17180894,223534.0
2009-02-09,1116.17180894,1096.35810819,1135.985509691,1135.985509691,181685.0
2009-02-13,1076.544407439,1076.544407439,1096.35810819,1076.544407439,96967.0
2009-02-16,1076.544407439,1076.544407439,1135.985509691,1076.544407439,11227.0
2009-02-17,1076.544407439,1056.730706689,1102.962675107,1056.730706689,139836.0
2009-02-18,1056.730706689,1003.894171354,1063.335273606,1017.103305188,63283.0
2009-02-19,1017.103305188,990.685037521,1056.730706689,1017.103305188,83697.0
2009-02-20,1017.103305188,1003.894171354,1030.312439022,1030.312439022,101049.0
2009-02-24,984.080470604,957.662202937,990.685037521,964.266769854,72470.0
2009-02-26,1023.707872105,1003.894171354,1030.312439022,1030.312439022,79615.0
2009-03-02,1023.707872105,1003.894171354,1023.707872105,1023.707872105,35724.0
2009-03-04,984.080470604,964.266769854,997.289604438,997.289604438,96967.0
2009-03-05,997.289604438,984.080470604,1043.521572855,997.289604438,149022.0
2009-03-09,1024.243848129,997.290062652,1024.243848129,997.290062652,135753.0
2009-03-12,1037.720740868,1010.766955391,1057.936079975,1037.720740868,121463.0
2009-03-13,1037.720740868,1004.028509021,1064.674526345,1017.50540176,174540.0
2009-03-16,1017.50540176,990.551616283,1017.50540176,1017.50540176,132691.0
2009-03-19,1125.320543668,1078.151419083,1199.44345373,1078.151419083,599154.0
2009-03-20,1078.151419083,1078.151419083,1111.84365093,1078.151419083,121463.0
2009-03-25,1105.10520456,1057.936079975,1111.84365093,1098.366758191,194954.0
2009-03-26,1098.366758191,1091.628311822,1105.10520456,1091.628311822,118401.0
2009-03-27,1091.628311822,1078.151419083,1132.058990037,1091.628311822,293963.0
2009-04-02,1111.84365093,1044.459187237,1111.84365093,1098.366758191,129629.0
2009-04-07,1172.489668253,1111.84365093,1212.920346469,1212.920346469,601195.0
2009-04-09,1111.84365093,1111.84365093,1145.535882776,1118.582097299,228638.0
2009-04-14,1273.566363792,1260.089471054,1347.689273854,1260.089471054,824730.0
2009-04-16,1192.705007361,1145.535882776,1260.089471054,1192.705007361,611402.0
2009-04-17,1192.705007361,1125.320543668,1212.920346469,1132.058990037,672644.0
2009-04-21,1064.674526345,997.290062652,1071.412972714,1071.412972714,330708.0
2009-04-23,1098.366758191,1064.674526345,1138.797436407,1078.151419083,212306.0
2009-04-24,1078.151419083,1044.459187237,1078.151419083,1071.412972714,333770.0
2009-04-27,1071.412972714,1071.412972714,1091.628311822,1078.151419083,274569.0
2009-04-28,1078.151419083,1078.151419083,1098.366758191,1098.366758191,114319.0
2009-04-29,1098.366758191,1098.366758191,1118.582097299,1098.366758191,121463.0
2009-05-08,1219.658792838,1179.228114622,1246.612578315,1219.658792838,262321.0
2009-05-11,1219.658792838,1199.44345373,1219.658792838,1212.920346469,400116.0
2009-05-12,1212.920346469,1172.489668253,1273.566363792,1260.089471054,652230.0
2009-05-13,1260.089471054,1253.351024684,1307.258595638,1307.258595638,754301.0
2009-05-14,1307.258595638,1300.520149269,1388.11995207,1388.11995207,1213618.0
2009-05-15,1388.11995207,1381.3815057,1455.504415762,1455.504415762,1114610.0
2009-05-22,1691.350038687,1576.796450409,1805.903626964,1691.350038687,1421842.0
2009-05-25,1691.350038687,1684.611592318,1772.211395118,1772.211395118,1318751.0
2009-05-26,1772.211395118,1657.65780684,1846.33430518,1711.565377795,1118693.0
2009-05-29,1536.365772194,1522.888879455,1630.704021363,1603.750235886,348060.0
2009-06-03,1664.39625321,1617.227128625,1698.088485056,1684.611592318,849226.0
2009-06-04,1684.611592318,1684.611592318,1758.73450238,1758.73450238,639982.0
2009-06-08,1873.288090657,1859.811197919,2001.318571673,2001.318571673,927821.0
2009-06-09,2001.318571673,1920.457215242,2136.087499059,1954.149447088,1013560.0
2009-06-11,1900.241876134,1819.380519703,1947.411000719,1940.67255435,740011.0
2009-06-12,1940.67255435,1839.595858811,1981.103232565,1866.549644288,646106.0
2009-06-15,1866.549644288,1772.211395118,2021.533910781,1819.380519703,822688.0
2009-06-17,1711.565377795,1617.227128625,1792.426734226,1792.426734226,347039.0
2009-06-18,1792.426734226,1792.426734226,1846.33430518,1846.33430518,134733.0
2009-06-19,1846.33430518,1785.688287857,1974.364786196,1954.149447088,1016622.0
2009-06-24,1671.134699579,1657.65780684,1785.688287857,1785.688287857,437882.0
2009-06-25,1785.688287857,1657.65780684,1805.903626964,1657.65780684,543015.0
2009-06-30,1657.65780684,1603.750235886,1677.873145948,1603.750235886,236803.0
2009-07-02,1563.319557671,1516.150433086,1664.39625321,1664.39625321,250072.0
2009-07-03,1664.39625321,1617.227128625,1718.303824164,1711.565377795,688976.0
2009-07-07,1785.688287857,1684.611592318,1819.380519703,1745.257609641,55118.0
2009-07-10,1684.611592318,1630.704021363,1718.303824164,1671.134699579,67366.0
2009-07-13,1671.134699579,1623.965574994,1691.350038687,1664.39625321,28579.0
2009-07-14,1664.39625321,1590.273343148,1785.688287857,1610.488682256,99008.0
2009-07-16,1650.919360471,1630.704021363,1691.350038687,1671.134699579,341936.0
2009-07-17,1671.134699579,1637.442467733,1677.873145948,1637.442467733,28579.0
2009-07-22,1617.227128625,1583.534896778,1630.704021363,1603.750235886,166374.0
2009-07-27,1751.99605601,1738.519163272,1859.811197919,1751.99605601,643044.0
2009-07-29,1671.134699579,1623.965574994,1698.088485056,1623.965574994,52055.0
2009-07-30,1623.965574994,1590.273343148,1684.611592318,1617.227128625,91863.0
2009-07-31,1617.227128625,1617.227128625,1650.919360471,1644.180914102,81656.0
2009-08-03,1644.180914102,1630.704021363,1684.611592318,1630.704021363,103091.0
2009-08-05,1671.134699579,1630.704021363,1684.611592318,1650.919360471,234762.0
2009-08-07,1684.611592318,1657.65780684,1684.611592318,1671.134699579,177602.0
2009-08-10,1671.134699579,1657.65780684,1704.826931425,1704.826931425,584864.0
2009-08-12,1799.165180595,1765.472948749,1859.811197919,1785.688287857,764508.0
2009-08-13,1785.688287857,1772.211395118,1886.764983396,1812.642073334,282735.0
2009-08-17,1758.73450238,1718.303824164,1799.165180595,1751.99605601,214348.0
2009-08-18,1751.99605601,1745.257609641,1819.380519703,1778.949841487,372557.0
2009-08-19,1778.949841487,1751.99605601,1819.380519703,1785.688287857,329687.0
2009-08-20,1785.688287857,1751.99605601,1819.380519703,1812.642073334,574657.0
2009-08-25,1940.67255435,1933.934107981,2021.533910781,2001.318571673,1253426.0
2009-08-26,2001.318571673,1987.841678935,2115.872159951,2115.872159951,1902594.0
2009-08-31,2378.671568352,2223.687301859,2459.532924784,2338.240890137,1731116.0
2009-09-03,2277.594872813,2109.133713582,2291.071765552,2223.687301859,1914843.0
2009-09-04,2223.687301859,2122.61060632,2223.687301859,2142.825945428,1388159.0
2009-09-07,2142.825945428,2095.656820843,2297.810211921,2291.071765552,1844414.0
2009-09-10,2493.22515663,2425.840692937,2627.994084015,2560.609620323,2562991.0
2009-09-11,2560.609620323,2513.440495738,2621.255637646,2594.301852169,2184309.0
2009-09-16,2931.224170633,2830.147475093,3126.639115341,3126.639115341,3400990.0
2009-09-17,3126.639115341,2931.224170633,3247.931149988,3167.069793557,1328958.0
2009-09-18,3167.069793557,2830.147475093,3247.931149988,3247.931149988,1670894.0
2009-10-02,5727.67941388,5330.111078093,6057.863285974,5579.433593756,3851121.0
2009-10-05,5579.433593756,5437.926220001,5815.27921668,5815.27921668,4637064.0
2009-10-07,5936.571251327,5565.956701017,6185.89376699,5781.586984834,1554534.0
2009-10-08,5781.586984834,5390.757095416,5862.448341265,5559.218254648,3889908.0
2009-10-13,6233.062891575,5896.140573111,6664.323459208,5896.140573111,2254738.0
