Date,Price Open,Price Low,Price High,Price Close,Volume
2009-06-30,13875.873681017,13875.873681017,13875.873681017,13875.873681017,998511.0
2009-07-01,13875.873681017,13760.241400342,14569.667365068,13991.505961692,21216336.0
2009-07-06,12950.815435616,12950.815435616,13528.976838992,13528.976838992,5336825.0
2009-07-09,12835.183154941,12372.65403224,12950.815435616,12488.286312915,3335829.0
2009-07-13,11910.12490954,11331.963506164,11910.12490954,11331.963506164,2758019.0
2009-07-14,11331.963506164,10985.066664138,11378.216418434,11054.446032544,2878830.0
2009-07-21,10823.181471193,10823.181471193,11031.319576409,10846.307927328,1643076.0
2009-07-23,10985.066664138,10869.434383463,11516.975155244,11516.975155244,3154714.0
2009-07-28,12603.91859359,12141.38947089,12950.815435616,12257.021751565,4050138.0
2009-07-29,12257.021751565,11910.12490954,12488.286312915,12141.38947089,3139366.0
2009-07-30,12141.38947089,11678.860348189,12141.38947089,11910.12490954,2059907.0
2009-08-05,13528.976838992,13182.079996966,13644.609119667,13413.344558316,5617054.0
2009-08-06,13413.344558316,13066.447716291,13644.609119667,13182.079996966,5624083.0
2009-08-07,13182.079996966,13066.447716291,13297.712277641,13066.447716291,3454637.0
2009-08-10,13066.447716291,13066.447716291,13413.344558316,13297.712277641,2340510.0
2009-08-11,13297.712277641,13066.447716291,13413.344558316,13182.079996966,4101206.0
2009-08-12,13182.079996966,13066.447716291,13297.712277641,13066.447716291,3382415.0
2009-08-13,13066.447716291,13066.447716291,13297.712277641,13182.079996966,3045040.0
2009-08-14,13182.079996966,13066.447716291,13297.712277641,13182.079996966,2410083.0
2009-08-17,13182.079996966,12950.815435616,13182.079996966,12950.815435616,2114676.0
2009-08-18,12950.815435616,12719.550874266,12950.815435616,12835.183154941,3150503.0
2009-08-19,12835.183154941,12719.550874266,13066.447716291,12835.183154941,2442680.0
2009-08-20,12835.183154941,12719.550874266,12950.815435616,12835.183154941,1963033.0
2009-08-24,12950.815435616,12950.815435616,13182.079996966,13066.447716291,2153996.0
2009-08-25,13066.447716291,12835.183154941,13066.447716291,12835.183154941,1960826.0
2009-08-26,12835.183154941,12835.183154941,13066.447716291,12950.815435616,1752479.0
2009-08-27,12950.815435616,12835.183154941,12950.815435616,12950.815435616,1829726.0
2009-08-28,12950.815435616,12950.815435616,13066.447716291,13066.447716291,2170192.0
2009-08-31,13066.447716291,13066.447716291,13297.712277641,13297.712277641,2968811.0
2009-09-01,13297.712277641,13066.447716291,13297.712277641,13182.079996966,2876216.0
2009-09-04,12950.815435616,12603.91859359,12950.815435616,12603.91859359,3446624.0
2009-09-07,12603.91859359,12025.757190215,12603.91859359,12257.021751565,3239499.0
2009-09-08,12257.021751565,12257.021751565,12488.286312915,12372.65403224,2333719.0
2009-09-09,12372.65403224,12257.021751565,12488.286312915,12372.65403224,2317964.0
2009-09-10,12372.65403224,12257.021751565,12372.65403224,12257.021751565,1399790.0
2009-09-11,12257.021751565,12141.38947089,12372.65403224,12257.021751565,1414119.0
2009-09-14,12257.021751565,12141.38947089,12372.65403224,12257.021751565,1998143.0
2009-09-15,12257.021751565,12141.38947089,12372.65403224,12141.38947089,2468588.0
2009-09-17,12719.550874266,12488.286312915,13297.712277641,12950.815435616,7454930.0
2009-09-18,12950.815435616,12488.286312915,13066.447716291,13066.447716291,2886165.0
2009-09-21,13066.447716291,12719.550874266,13066.447716291,12719.550874266,2587294.0
2009-09-22,12719.550874266,12488.286312915,12719.550874266,12488.286312915,2237219.0
2009-09-24,12603.91859359,12372.65403224,12603.91859359,12372.65403224,1839234.0
2009-09-25,12372.65403224,12257.021751565,12950.815435616,12835.183154941,3168466.0
2009-09-28,12835.183154941,12603.91859359,12950.815435616,12603.91859359,1906498.0
2009-09-29,12603.91859359,12372.65403224,12719.550874266,12488.286312915,2547668.0
2009-09-30,12488.286312915,12257.021751565,12603.91859359,12372.65403224,2417587.0
2009-10-01,12372.65403224,12141.38947089,12372.65403224,12141.38947089,2971663.0
2009-10-05,11794.492628864,11563.228067514,11910.12490954,11794.492628864,2058922.0
2009-10-06,11794.492628864,11678.860348189,11910.12490954,11678.860348189,1565286.0
2009-10-07,11678.860348189,11678.860348189,11910.12490954,11794.492628864,2025680.0
2009-10-08,11794.492628864,11678.860348189,11910.12490954,11794.492628864,1523216.0
2009-10-09,11794.492628864,11794.492628864,12025.757190215,11910.12490954,2698937.0
2009-10-12,11910.12490954,11910.12490954,12257.021751565,12257.021751565,2577583.0
2009-10-13,12257.021751565,11794.492628864,12257.021751565,12025.757190215,1743956.0
2009-10-14,12025.757190215,11910.12490954,12603.91859359,12603.91859359,4614842.0
2009-10-16,13182.079996966,13066.447716291,13644.609119667,13066.447716291,7605283.0
2009-10-19,13066.447716291,12603.91859359,13066.447716291,12719.550874266,3446692.0
2009-10-20,12719.550874266,12603.91859359,12950.815435616,12603.91859359,3088027.0
2009-10-21,12603.91859359,12488.286312915,12603.91859359,12488.286312915,3525909.0
2009-10-22,12488.286312915,12488.286312915,12719.550874266,12719.550874266,2938421.0
2009-10-23,12719.550874266,12719.550874266,13297.712277641,13066.447716291,13399412.0
2009-10-26,13066.447716291,12603.91859359,13297.712277641,12719.550874266,3839652.0
2009-10-28,12257.021751565,12141.38947089,12488.286312915,12257.021751565,2117494.0
2009-10-30,11794.492628864,11794.492628864,12257.021751565,12025.757190215,4423642.0
2009-11-02,12025.757190215,11678.860348189,12257.021751565,12257.021751565,7276362.0
2009-11-03,12257.021751565,11678.860348189,12257.021751565,11910.12490954,4721596.0
2009-11-04,11910.12490954,11794.492628864,12141.38947089,11910.12490954,2676018.0
2009-11-05,11910.12490954,11910.12490954,12372.65403224,12257.021751565,3386286.0
2009-11-06,12257.021751565,11910.12490954,12372.65403224,11910.12490954,3076006.0
2009-11-09,11910.12490954,11678.860348189,12025.757190215,11678.860348189,4050919.0
