Date,Price Open,Price Low,Price High,Price Close,Volume
2009-02-05,1629.9757474595,1414.695931757,1845.255563162,1537.712969302,9975.0
2009-02-06,1537.712969302,1537.712969302,1614.598617767,1568.467228688,4604.0
2009-02-10,1629.97574746,1629.97574746,1660.730006846,1629.97574746,3836.0
2009-02-12,1599.221488074,1568.467228688,1599.221488074,1568.467228688,3069.0
2009-02-13,1568.467228688,1568.467228688,1599.221488074,1599.221488074,3069.0
2009-02-19,1476.204450529,1476.204450529,1537.712969302,1476.204450529,5831.0
2009-02-20,1476.204450529,1399.318802064,1491.581580222,1414.695931757,6599.0
2009-02-23,1414.695931757,1322.433153599,1414.695931757,1383.941672371,9515.0
2009-02-26,1353.187412985,1260.924634827,1368.564542678,1368.564542678,2455.0
2009-02-27,1368.564542678,1322.433153599,1430.07306145,1383.941672371,2148.0
2009-03-05,1506.958709915,1506.958709915,1522.335839608,1522.335839608,4450.0
2009-03-09,1522.335839608,1414.695931757,1553.090098995,1414.695931757,11510.0
2009-03-10,1414.695931757,1383.941672371,1537.712969302,1383.941672371,6599.0
2009-03-16,1460.827320836,1445.450191143,1522.335839608,1445.450191143,9668.0
2009-03-24,1537.712969302,1522.335839608,1614.598617767,1614.598617767,18263.0
2009-03-26,1722.238525618,1722.238525618,1829.878433469,1768.369914697,38675.0
2009-03-27,1768.369914697,1768.369914697,1845.255563162,1768.369914697,15961.0
2009-03-30,1768.369914697,1676.107136539,1829.878433469,1722.238525618,21639.0
2009-03-31,1722.238525618,1614.598617767,1752.992785004,1752.992785004,13966.0
2009-04-01,1752.992785004,1722.238525618,1799.124174083,1799.124174083,17956.0
2009-04-09,1922.141211627,1891.386952241,1999.026860092,1968.272600706,7213.0
2009-04-10,1968.272600706,1952.895471013,2045.158249171,1968.272600706,54329.0
2009-04-14,2122.043897636,2029.781119478,2183.552416408,2045.158249171,9668.0
2009-04-17,2368.077972724,2275.815194566,2521.849269654,2398.83223211,132293.0
2009-04-20,2398.83223211,2321.946583645,2506.472139961,2321.946583645,25169.0
2009-04-22,2214.306675794,2075.912508557,2306.569453952,2291.192324259,65226.0
2009-04-23,2291.192324259,2068.912147673,2308.290412693,2068.912147673,23327.0
2009-04-24,2068.912147673,2068.912147673,2103.109042676,2068.912147673,16268.0
2009-04-27,2068.912147673,1949.223015163,2188.601280183,2103.109042676,4911.0
2009-04-29,1932.124567662,1897.927672659,2017.616805169,1966.321462665,13505.0
2009-05-05,2137.305937679,2137.305937679,2256.995070189,2137.305937679,36219.0
2009-05-06,2137.305937679,2086.010595175,2239.896622688,2086.010595175,9668.0
2009-05-14,2051.813700172,2017.616805169,2051.813700172,2051.813700172,13045.0
2009-05-15,2051.813700172,2034.71525267,2051.813700172,2051.813700172,55557.0
2009-05-18,2051.813700172,2034.71525267,2051.813700172,2051.813700172,9822.0
2009-05-20,2120.207490178,2068.912147673,2291.191965192,2291.191965192,108812.0
2009-05-21,2291.191965192,2222.798175186,2359.585755198,2359.585755198,118788.0
2009-05-27,2393.7826502,2274.09351769,2393.7826502,2308.290412693,68142.0
2009-05-28,2308.290412693,2154.40438518,2393.7826502,2188.601280183,52487.0
2009-06-03,2445.077992705,2376.684202699,2547.668677713,2427.979545203,77810.0
2009-06-04,2427.979545203,2427.979545203,2564.767125215,2479.274887708,69676.0
2009-06-05,2479.274887708,2479.274887708,2650.259362722,2650.259362722,302802.0
2009-06-09,2804.145390235,2718.653152728,2992.228312751,2735.751600229,100371.0
2009-06-11,2616.062467719,2564.767125215,2667.357810223,2650.259362722,141962.0
2009-06-12,2650.259362722,2513.47178271,2735.751600229,2616.062467719,39596.0
2009-06-15,2616.062467719,2445.077992705,2616.062467719,2445.077992705,77657.0
2009-06-17,2291.191965192,2137.305937679,2291.191965192,2239.896622688,41898.0
2009-06-22,2513.47178271,2359.585755198,2667.357810223,2393.7826502,21025.0
2009-06-23,2393.7826502,2274.09351769,2393.7826502,2274.09351769,30694.0
2009-06-24,2274.09351769,2222.798175186,2445.077992705,2445.077992705,19337.0
2009-06-25,2445.077992705,2325.388860195,2547.668677713,2410.881097702,10589.0
2009-06-26,2410.881097702,2308.290412693,2410.881097702,2393.7826502,4450.0
2009-06-29,2393.7826502,2325.388860195,2393.7826502,2359.585755198,9208.0
2009-06-30,2359.585755198,2291.191965192,2393.7826502,2291.191965192,4757.0
2009-07-07,2410.881097702,2325.388860195,2479.274887708,2325.388860195,8594.0
2009-07-08,2325.388860195,2325.388860195,2393.7826502,2393.7826502,15500.0
2009-07-09,2393.7826502,2359.585755198,2427.979545203,2359.585755198,6752.0
2009-07-13,2325.388860195,2222.798175186,2376.684202699,2256.995070189,9054.0
2009-07-14,2256.995070189,2222.798175186,2376.684202699,2239.896622688,11510.0
2009-07-16,2291.191965192,2291.191965192,2359.585755198,2308.290412693,5371.0
2009-07-21,2239.896622688,2222.798175186,2291.191965192,2222.798175186,7827.0
2009-07-23,2239.896622688,2222.798175186,2308.290412693,2308.290412693,21946.0
2009-07-27,2427.979545203,2291.191965192,2513.47178271,2291.191965192,1074.0
2009-07-28,2291.191965192,2256.995070189,2376.684202699,2256.995070189,4143.0
2009-07-30,2308.290412693,2308.290412693,2393.7826502,2376.684202699,9054.0
2009-07-31,2376.684202699,2359.585755198,2427.979545203,2359.585755198,13812.0
2009-08-03,2359.585755198,2359.585755198,2393.7826502,2359.585755198,7059.0
2009-08-04,2359.585755198,2359.585755198,2427.979545203,2359.585755198,4604.0
2009-08-05,2359.585755198,2359.585755198,2393.7826502,2359.585755198,3990.0
2009-08-07,2342.487307696,2342.487307696,2342.487307696,2342.487307696,460.0
2009-08-12,2393.7826502,2359.585755198,2393.7826502,2359.585755198,17495.0
2009-08-13,2359.585755198,2342.487307696,2393.7826502,2342.487307696,22100.0
2009-08-17,2325.388860195,2274.09351769,2325.388860195,2274.09351769,39749.0
2009-08-19,2308.290412693,2308.290412693,2308.290412693,2308.290412693,1995.0
2009-08-20,2308.290412693,2291.191965192,2325.388860195,2308.290412693,24095.0
2009-08-21,2308.290412693,2308.290412693,2393.7826502,2308.290412693,23174.0
2009-08-25,2342.487307696,2308.290412693,2359.585755198,2325.388860195,9975.0
2009-08-26,2325.388860195,2308.290412693,2342.487307696,2325.388860195,16882.0
2009-08-27,2325.388860195,2325.388860195,2479.274887708,2393.7826502,34071.0
2009-09-01,2667.357810223,2650.259362722,2838.342285238,2667.357810223,88400.0
2009-09-07,2564.767125215,2479.274887708,2598.964020218,2479.274887708,68602.0
2009-09-09,2530.570230212,2530.570230212,2598.964020218,2547.668677713,35912.0
2009-09-10,2547.668677713,2547.668677713,2718.653152728,2718.653152728,77503.0
2009-09-11,2718.653152728,2701.554705226,2769.948495232,2769.948495232,311550.0
2009-09-17,3300.000367776,3077.720550258,3368.394157782,3111.917445261,233586.0
2009-09-18,3111.917445261,2992.228312751,3282.901920275,3231.606577771,183093.0
2009-09-23,3573.575527799,3368.394157782,3812.953792819,3436.787947788,275637.0
2009-09-25,3676.166212808,3436.787947788,3830.052240321,3830.052240321,164216.0
2009-10-01,4616.580825387,4445.596350372,4924.352880412,4736.269957897,528407.0
2009-10-05,4531.088587879,4189.119637851,4616.580825387,4445.596350372,108658.0
2009-10-06,4445.596350372,4445.596350372,4667.876167891,4667.876167891,177875.0
2009-10-13,6035.751968005,6035.751968005,6446.11470804,6155.441100515,269959.0
2009-10-14,6155.441100515,5762.176807982,6497.410050544,6326.42557553,231437.0
2009-10-16,6497.410050544,6138.342653014,6497.410050544,6138.342653014,147027.0
2009-10-19,6138.342653014,5813.472150487,6497.410050544,5916.062835495,171122.0
2009-10-21,6326.42557553,6326.42557553,6753.886763066,6668.394525558,181405.0
2009-10-23,6377.720918034,5967.358178,6411.917813037,5967.358178,129838.0
2009-10-28,5266.321830441,4907.254432911,5556.995437965,5351.814067948,111268.0
2009-11-03,4941.451327914,4667.876167891,5009.845117919,4702.073062894,114337.0
2009-11-04,4702.073062894,4531.088587879,4958.549775415,4616.580825387,21639.0
2009-11-10,4992.746670418,4650.777720389,5044.042012922,4702.073062894,29159.0
2009-11-11,4702.073062894,4445.596350372,4787.565300401,4787.565300401,36526.0
