Date,Price Open,Price Low,Price High,Price Close,Volume
2007-12-17,4435.663819062,3652.899615698,5218.428022426,3674.643065792,430109.0
2007-12-19,3731.176036035,3361.537384446,3826.847216446,3696.386515885,363460.0
2007-12-20,3696.386515885,3652.899615698,3739.873416072,3696.386515885,35546.0
2007-12-21,3696.386515885,3513.7415351,3718.129965979,3522.438915138,55985.0
2007-12-24,3522.438915138,3352.840004409,3652.899615698,3413.721664671,69315.0
2007-12-26,3457.208564857,3435.465114764,3478.952014951,3435.465114764,180397.0
2007-12-27,3435.465114764,3357.188694428,3478.952014951,3357.188694428,114636.0
2008-01-08,2783.161611961,2783.161611961,3061.477773157,3022.339562989,174176.0
2008-01-09,3022.339562989,2787.510301979,3109.313363362,2787.510301979,153737.0
2008-01-14,2913.622312521,2726.628641718,2935.365762615,2826.648512148,237271.0
2008-01-17,2900.576242465,2826.648512148,3044.083013082,2935.365762615,170622.0
2008-01-18,2935.365762615,2826.648512148,2957.109212708,2870.135412334,33768.0
2008-01-21,2870.135412334,2722.279951699,2870.135412334,2848.391962241,110193.0
2008-01-24,2652.7009114,2613.562701232,2761.418161867,2630.957461307,103084.0
2008-01-28,2757.069471849,2674.444361493,2826.648512148,2739.674711774,133298.0
2008-01-31,3109.313363362,3000.596112895,3391.978214577,3087.569913269,88865.0
2008-02-01,3087.569913269,3074.523843213,3265.866204035,3239.774063923,368792.0
2008-02-13,3044.083013082,2870.135412334,3087.569913269,2870.135412334,315472.0
2008-02-14,2870.135412334,2826.648512148,2957.109212708,2848.391962241,226607.0
2008-02-15,2848.391962241,2739.674711774,2870.135412334,2770.115541905,265708.0
2008-02-19,2652.7009114,2565.727111026,2696.187811587,2652.7009114,206168.0
2008-02-22,2243.924049643,2030.838238728,2261.318809718,2222.18059955,204390.0
2008-02-26,2270.016189755,2174.345009344,2435.266410466,2217.831909531,151071.0
2008-02-27,2217.831909531,2130.858109157,2326.549159998,2261.318809718,118191.0
2008-02-28,2261.318809718,2174.345009344,2261.318809718,2261.318809718,74647.0
2008-03-05,1782.962907662,1609.015306915,1782.962907662,1717.732557382,154626.0
2008-03-11,2173.91208895,2029.605290754,2327.529003158,2090.121044836,244900.0
2008-03-12,2090.121044836,2001.674942716,2294.943597114,2271.668307082,83847.0
2008-03-13,2271.668307082,2187.877262969,2327.529003158,2271.668307082,156072.0
2008-03-14,2271.668307082,2257.703133063,2280.978423095,2257.703133063,63092.0
2008-03-19,1862.023202527,1862.023202527,1978.399652684,1862.023202527,151090.0
2008-03-21,1759.611926388,1675.820882274,1768.9220424,1675.820882274,131166.0
2008-04-17,1725.649725326,1678.500825727,1772.798624925,1772.798624925,85507.0
2008-04-18,1772.798624925,1678.500825727,1772.798624925,1678.500825727,103771.0
2008-04-22,1697.360385567,1659.641265887,1725.649725326,1659.641265887,37357.0
2008-04-25,1612.492366288,1603.062586369,1626.637036168,1626.637036168,22414.0
2008-04-29,1659.641265887,1617.207256248,1706.790165487,1617.207256248,425877.0
