Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-21,9225.440717068,9225.440717068,9225.440717068,9225.440717068,149583.0
2006-12-26,8369.990759668,7984.199602408,8369.990759668,8369.990759668,201609.0
2007-01-03,9812.514217246,9393.176002833,9812.514217246,9812.514217246,175286.0
2007-01-17,14844.572790192,14173.631647132,15515.513933252,14173.631647132,394864.0
2007-01-18,14173.631647132,13502.690504073,14844.572790192,14844.572790192,383846.0
2007-01-19,14844.572790192,14844.572790192,15096.175718839,15096.175718839,426586.0
2007-01-24,14089.76400425,13922.028718485,14425.23457578,14425.23457578,535071.0
2007-01-25,14425.23457578,14425.23457578,14425.23457578,14425.23457578,501123.0
2007-02-01,16720.161754324,16326.746183634,17506.992895704,16326.746183634,162395.0
2007-02-05,16720.161754324,16720.161754324,16916.869539669,16720.161754324,134256.0
2007-02-06,16720.161754324,16621.807861652,16720.161754324,16720.161754324,163141.0
2007-02-07,16720.161754324,16161.498650897,16959.597349707,16959.597349707,135936.0
2007-02-08,16959.597349707,16261.260988249,16959.597349707,16859.835012356,241353.0
2007-02-12,16161.498650897,15961.973976195,16361.0233256,16361.0233256,24063.0
2007-02-13,16361.0233256,15961.973976195,16560.548000302,16161.498650897,88166.0
2007-02-15,16959.597349707,16959.597349707,17757.696048517,16959.597349707,173906.0
2007-02-28,18555.794747327,17957.220723219,18954.844096732,17957.220723219,200412.0
2007-03-02,17358.646699112,17358.646699112,17957.220723219,17358.646699112,162753.0
2007-03-06,17957.220723219,17957.220723219,18755.319422029,18256.507735273,148800.0
2007-03-14,22147.238891971,21947.714217268,23144.862265483,21947.714217268,303993.0
2007-03-16,20950.090843756,20551.041494351,21947.714217268,21947.714217268,182679.0
2007-03-19,21947.714217268,21349.140193161,22945.33759078,21349.140193161,191981.0
2007-03-21,21748.189542566,20950.090843756,21947.714217268,21149.615518458,134380.0
2007-03-27,18755.319422029,18156.745397922,18755.319422029,18156.745397922,129340.0
2007-04-02,18356.270072624,17957.220723219,18356.270072624,17957.220723219,186412.0
2007-04-03,17957.220723219,17258.884361761,17957.220723219,17258.884361761,111265.0
2007-04-05,18056.983060571,18056.983060571,18256.507735273,18056.983060571,141053.0
2007-04-06,18056.983060571,17757.696048517,18056.983060571,17757.696048517,161539.0
2007-04-09,17757.696048517,17757.696048517,18256.507735273,18256.507735273,47303.0
2007-04-11,17957.220723219,17558.171373815,17957.220723219,17757.696048517,67758.0
2007-04-12,17757.696048517,17159.12202441,17757.696048517,17159.12202441,47271.0
2007-04-17,16760.072675005,16760.072675005,16959.597349707,16760.072675005,295344.0
2007-04-19,17558.171373815,16959.597349707,17757.696048517,16959.597349707,60089.0
2007-04-23,16560.548000302,15762.449301493,16560.548000302,15961.973976195,92895.0
2007-04-24,15961.973976195,15762.449301493,15961.973976195,15762.449301493,72020.0
2007-05-02,15961.973976195,15463.162289439,16560.548000302,16560.548000302,128982.0
2007-05-03,16560.548000302,16361.0233256,16560.548000302,16361.0233256,45778.0
2007-05-07,15961.973976195,15961.973976195,16361.0233256,16361.0233256,44316.0
2007-05-08,16361.0233256,16361.0233256,16361.0233256,16361.0233256,47349.0
2007-05-09,16361.0233256,16361.0233256,16560.548000302,16361.0233256,69422.0
2007-05-10,16361.0233256,15961.973976195,16361.0233256,16161.498650897,36430.0
2007-05-11,16161.498650897,16161.498650897,16959.597349707,16959.597349707,145704.0
2007-05-14,16959.597349707,16959.597349707,17757.696048517,17159.12202441,67166.0
2007-05-17,16959.597349707,16760.072675005,16959.597349707,16760.072675005,39556.0
2007-05-18,16760.072675005,16760.072675005,16859.835012356,16859.835012356,28061.0
2007-05-21,16859.835012356,16760.072675005,17657.933711166,17657.933711166,79144.0
2007-05-28,17957.220723219,17757.696048517,18755.319422029,17757.696048517,84153.0
2007-05-29,17757.696048517,17757.696048517,17957.220723219,17757.696048517,36585.0
2007-05-31,17558.171373815,17358.646699112,17558.171373815,17558.171373815,46385.0
2007-06-01,17558.171373815,17558.171373815,17957.220723219,17558.171373815,104343.0
2007-06-04,17558.171373815,17358.646699112,17558.171373815,17358.646699112,22321.0
2007-06-05,17358.646699112,17358.646699112,17657.933711166,17657.933711166,132062.0
2007-06-08,16959.597349707,16760.072675005,16959.597349707,16760.072675005,33536.0
2007-06-11,16760.072675005,16361.0233256,16760.072675005,16361.0233256,24545.0
2007-06-12,16361.0233256,16361.0233256,16361.0233256,16361.0233256,63620.0
2007-06-13,16361.0233256,16361.0233256,16760.072675005,16361.0233256,67960.0
2007-06-14,16361.0233256,16361.0233256,17159.12202441,16361.0233256,82970.0
2007-06-15,16361.0233256,16261.260988249,16361.0233256,16361.0233256,69795.0
2007-06-18,16361.0233256,16261.260988249,16361.0233256,16261.260988249,87341.0
2007-06-20,16361.0233256,16261.260988249,16361.0233256,16261.260988249,71273.0
2007-06-21,16261.260988249,16261.260988249,16261.260988249,16261.260988249,76733.0
2007-06-22,16261.260988249,16161.498650897,16261.260988249,16161.498650897,77931.0
2007-06-25,16161.498650897,16161.498650897,16760.072675005,16161.498650897,45654.0
2007-06-26,16161.498650897,16161.498650897,16261.260988249,16161.498650897,181372.0
2007-06-27,16161.498650897,15862.211638844,16161.498650897,15862.211638844,26863.0
2007-06-28,15862.211638844,15862.211638844,16061.736313546,16061.736313546,100859.0
2007-07-02,15961.973976195,15562.92462679,16361.0233256,15562.92462679,55376.0
2007-07-03,15562.92462679,15562.92462679,16161.498650897,15961.973976195,71055.0
2007-07-04,15961.973976195,15961.973976195,16261.260988249,15961.973976195,67058.0
2007-07-06,16161.498650897,15961.973976195,16361.0233256,15961.973976195,54085.0
2007-07-10,16061.736313546,16061.736313546,16361.0233256,16161.498650897,98681.0
2007-07-11,16161.498650897,16061.736313546,16161.498650897,16061.736313546,27750.0
2007-07-12,16061.736313546,15862.211638844,16061.736313546,15862.211638844,20392.0
2007-07-13,15862.211638844,15762.449301493,15961.973976195,15862.211638844,12008.0
2007-07-16,15862.211638844,15762.449301493,15961.973976195,15862.211638844,3157.0
