Date,Price Open,Price Low,Price High,Price Close,Volume
2009-12-17,14828.827276944,14828.827276944,14828.827276944,14828.827276944,621.0
2009-12-23,12789.863526364,12233.782503479,13345.94454925,13345.94454925,269831.0
2009-12-24,13345.94454925,12789.863526364,13994.705742616,13994.705742616,136543.0
2009-12-30,13345.94454925,12882.543696845,13902.025572135,13716.665231173,137933.0
2009-12-31,13716.665231173,13067.904037807,13902.025572135,13067.904037807,114521.0
2010-01-05,13716.665231173,13067.904037807,13716.665231173,13067.904037807,97112.0
2010-01-07,12511.823014921,12511.823014921,13067.904037807,13067.904037807,81736.0
2010-01-08,13067.904037807,12419.142844441,13716.665231173,12419.142844441,66581.0
2010-01-11,12419.142844441,12048.422162517,12975.223867326,12048.422162517,101030.0
2010-01-12,12048.422162517,11677.701480593,12511.823014921,11677.701480593,44654.0
2010-01-13,11677.701480593,11121.620457708,12141.102332998,11955.741992036,40725.0
2010-01-14,11955.741992036,11399.660969151,12233.782503479,11585.021310113,26645.0
2010-01-15,11585.021310113,11121.620457708,11770.381651074,11585.021310113,23664.0
2010-01-18,11585.021310113,11028.940287227,11770.381651074,11028.940287227,18240.0
2010-01-19,11028.940287227,10843.579946265,11399.660969151,11121.620457708,16945.0
2010-01-20,11121.620457708,10565.539434823,11121.620457708,10565.539434823,26518.0
2010-01-22,10102.138582418,9638.737730014,10287.49892338,10102.138582418,10015.0
2010-01-25,10102.138582418,9638.737730014,10287.49892338,9638.737730014,24907.0
2010-01-27,10102.138582418,9638.737730014,10194.818752899,9638.737730014,24275.0
2010-01-28,9638.737730014,9175.336877609,9824.098070975,9175.336877609,35860.0
2010-01-29,9175.336877609,8897.296366166,9268.01704809,8897.296366166,13459.0
2010-02-01,8897.296366166,8897.296366166,9268.01704809,9082.656707128,27255.0
2010-02-03,9453.377389052,9268.01704809,9638.737730014,9268.01704809,13638.0
2010-02-04,9268.01704809,9082.656707128,9731.417900494,9360.697218571,9478.0
2010-02-05,9360.697218571,9175.336877609,9546.057559533,9268.01704809,19557.0
2010-02-08,9268.01704809,9082.656707128,9268.01704809,9082.656707128,2948.0
2010-02-09,9082.656707128,8989.976536647,9268.01704809,8989.976536647,27224.0
2010-02-10,8989.976536647,8989.976536647,9082.656707128,8989.976536647,44548.0
2010-02-11,8989.976536647,8897.296366166,9175.336877609,9175.336877609,9088.0
2010-02-12,9175.336877609,9082.656707128,9360.697218571,9268.01704809,8920.0
2010-02-22,9268.01704809,9268.01704809,9731.417900494,9453.377389052,12922.0
2010-02-23,9453.377389052,9082.656707128,9453.377389052,9268.01704809,16776.0
2010-02-24,9268.01704809,8989.976536647,9360.697218571,9268.01704809,7877.0
2010-02-25,9268.01704809,9175.336877609,9453.377389052,9175.336877609,18704.0
2010-02-26,9175.336877609,9175.336877609,9268.01704809,9268.01704809,4265.0
2010-03-01,9268.01704809,9082.656707128,9268.01704809,9268.01704809,65538.0
2010-03-02,9268.01704809,9082.656707128,9268.01704809,9082.656707128,7214.0
2010-03-03,9082.656707128,8804.616195686,9175.336877609,8989.976536647,39283.0
2010-03-04,8989.976536647,8989.976536647,9175.336877609,9175.336877609,29330.0
2010-03-05,9175.336877609,8989.976536647,9268.01704809,9082.656707128,42663.0
2010-03-08,9082.656707128,9082.656707128,9453.377389052,9453.377389052,63032.0
2010-03-09,9453.377389052,9268.01704809,9638.737730014,9453.377389052,25644.0
2010-03-10,9453.377389052,9268.01704809,9453.377389052,9268.01704809,35017.0
2010-03-11,9268.01704809,9175.336877609,9268.01704809,9175.336877609,23664.0
2010-03-12,9175.336877609,9082.656707128,9268.01704809,9268.01704809,58324.0
2010-03-16,9731.417900494,9546.057559533,9824.098070975,9546.057559533,92510.0
2010-03-17,9546.057559533,9453.377389052,9638.737730014,9546.057559533,64580.0
2010-03-18,9546.057559533,9453.377389052,9824.098070975,9638.737730014,51299.0
2010-03-19,9638.737730014,9453.377389052,9638.737730014,9546.057559533,33248.0
2010-03-22,9546.057559533,9268.01704809,9638.737730014,9546.057559533,23411.0
2010-03-26,10936.260116746,10936.260116746,11399.660969151,11399.660969151,260521.0
2010-03-29,11399.660969151,10843.579946265,11955.741992036,11399.660969151,220259.0
2010-03-30,11399.660969151,10936.260116746,11492.341139632,10936.260116746,119239.0
2010-03-31,10936.260116746,10472.859264342,10936.260116746,10843.579946265,149907.0
2010-04-01,10843.579946265,10658.219605304,11121.620457708,11028.940287227,90635.0
2010-04-05,10565.539434823,10194.818752899,10565.539434823,10194.818752899,97839.0
2010-04-06,10194.818752899,10102.138582418,10565.539434823,10287.49892338,114321.0
2010-04-07,10287.49892338,10194.818752899,10472.859264342,10472.859264342,19062.0
2010-04-08,10472.859264342,10194.818752899,10472.859264342,10380.179093861,38588.0
2010-04-09,10380.179093861,10194.818752899,10565.539434823,10380.179093861,76565.0
2010-04-13,10750.899775784,10565.539434823,10843.579946265,10565.539434823,47034.0
2010-04-14,10565.539434823,10287.49892338,10658.219605304,10380.179093861,19462.0
2010-04-15,10380.179093861,10194.818752899,10565.539434823,10380.179093861,41536.0
2010-04-16,10380.179093861,10194.818752899,10565.539434823,10380.179093861,64885.0
2010-04-19,10380.179093861,10009.458411937,10380.179093861,10380.179093861,92204.0
2010-04-20,10380.179093861,10287.49892338,10565.539434823,10472.859264342,55923.0
2010-04-22,10936.260116746,10472.859264342,11399.660969151,10750.899775784,194035.0
2010-04-26,10750.899775784,10565.539434823,10750.899775784,10750.899775784,43537.0
2010-04-27,10750.899775784,10287.49892338,10750.899775784,10658.219605304,199469.0
2010-04-28,10658.219605304,10472.859264342,10658.219605304,10565.539434823,37650.0
2010-04-29,10565.539434823,10194.818752899,10750.899775784,10472.859264342,71425.0
2010-05-10,12511.823014921,11955.741992036,12789.863526364,11955.741992036,453230.0
2010-05-11,11955.741992036,11492.341139632,11955.741992036,11863.061821555,183693.0
2010-05-12,11863.061821555,11492.341139632,11863.061821555,11585.021310113,168517.0
2010-05-13,11585.021310113,11399.660969151,11863.061821555,11399.660969151,144631.0
2010-05-17,11955.741992036,11585.021310113,12511.823014921,11585.021310113,153014.0
2010-05-18,11585.021310113,11492.341139632,12048.422162517,12048.422162517,116617.0
2010-05-19,12048.422162517,11492.341139632,12048.422162517,11492.341139632,129971.0
2010-05-20,11492.341139632,10936.260116746,11492.341139632,11306.98079867,69119.0
2010-05-24,10750.899775784,10565.539434823,11214.300628189,11214.300628189,267946.0
2010-05-25,11214.300628189,10843.579946265,11214.300628189,10843.579946265,74880.0
2010-05-27,11306.98079867,11028.940287227,11770.381651074,11677.701480593,117091.0
2010-05-31,11863.061821555,11585.021310113,11955.741992036,11677.701480593,73405.0
2010-06-01,11677.701480593,11492.341139632,11677.701480593,11677.701480593,109518.0
2010-06-02,11677.701480593,11585.021310113,11677.701480593,11677.701480593,34059.0
2010-06-04,12233.782503479,12233.782503479,12789.863526364,12789.863526364,246514.0
2010-06-07,12789.863526364,12326.46267396,13345.94454925,13067.904037807,396938.0
2010-06-08,13067.904037807,12789.863526364,13623.985060692,13067.904037807,54459.0
2010-06-09,13067.904037807,12975.223867326,13438.624719731,13067.904037807,37798.0
2010-06-10,13067.904037807,12604.503185402,13160.584208288,12697.183355883,20979.0
2010-06-11,12697.183355883,12511.823014921,13253.264378769,13253.264378769,204704.0
2010-06-18,15940.989322715,15199.547958868,16404.390175119,15662.948811272,281585.0
2010-06-21,15662.948811272,15384.908299829,16404.390175119,16404.390175119,261827.0
2010-06-22,16404.390175119,15755.628981753,16682.430686562,15755.628981753,177532.0
2010-06-23,15755.628981753,15570.268640791,16311.710004638,15570.268640791,63242.0
2010-06-24,15570.268640791,15292.228129349,15940.989322715,15570.268640791,154720.0
2010-06-28,14828.827276944,14458.10659502,15014.187617906,14828.827276944,42021.0
2010-07-01,15292.228129349,14736.147106463,15292.228129349,14921.507447425,39188.0
2010-07-02,14921.507447425,14828.827276944,15292.228129349,15106.867788387,32195.0
2010-07-05,15106.867788387,14921.507447425,15292.228129349,15106.867788387,17082.0
2010-07-06,15106.867788387,14550.786765501,15292.228129349,14550.786765501,37103.0
2010-07-09,15940.989322715,15755.628981753,16126.349663677,15940.989322715,56460.0
2010-07-12,15940.989322715,15662.948811272,15940.989322715,15940.989322715,13849.0
2010-07-13,15940.989322715,15755.628981753,16126.349663677,16033.669493196,10826.0
