Date,Price Open,Price Low,Price High,Price Close,Volume
2009-08-14,10248.7541737655,9354.567568001,11142.94077953,11142.94077953,35849.0
2009-08-17,11142.94077953,11005.373609412,11280.507949648,11005.373609412,2999.0
2009-08-19,10400.078060895,9712.242210306,10427.591494918,9712.242210306,14249.0
2009-08-20,9712.242210306,9134.460095812,10179.970588706,9354.567568001,21149.0
2009-08-21,9354.567568001,9189.486963859,9712.242210306,9629.701908236,4199.0
2009-08-25,9492.134738118,9354.567568001,9492.134738118,9354.567568001,7649.0
2009-08-26,9354.567568001,9354.567568001,9492.134738118,9354.567568001,5399.0
2009-08-27,9354.567568001,9217.000397883,9354.567568001,9217.000397883,7049.0
2009-08-28,9217.000397883,8941.866057648,9272.02726593,9244.513831906,35399.0
2009-09-14,10124.943720659,9767.269078353,10234.997456753,9822.295946401,5999.0
2009-09-15,9822.295946401,9519.648172142,10179.970588706,9519.648172142,4649.0
2009-09-16,9519.648172142,9106.946661789,9959.863116518,9189.486963859,12449.0
2009-09-17,9189.486963859,8666.731717412,9244.513831906,8804.29888753,41849.0
2009-09-22,9354.567568001,8721.758585459,9519.648172142,8721.758585459,9749.0
2009-09-28,8804.29888753,8529.164547295,8804.29888753,8776.785453506,12899.0
2009-09-29,8776.785453506,8749.272019483,8941.866057648,8941.866057648,3899.0
2009-09-30,8941.866057648,8694.245151436,8941.866057648,8941.866057648,8399.0
2009-10-02,8529.164547295,7951.3824328,8639.218283389,8639.218283389,4799.0
2009-10-09,8529.164547295,8033.922734871,8584.191415342,8254.030207059,4799.0
2009-10-13,8831.812321553,8666.731717412,8941.866057648,8914.352623624,29999.0
2009-10-15,8831.812321553,8556.677981318,8941.866057648,8804.29888753,13049.0
2009-10-19,8941.866057648,8941.866057648,9079.433227765,8941.866057648,17399.0
2009-10-20,8941.866057648,8941.866057648,9217.000397883,9217.000397883,38699.0
2009-10-21,9217.000397883,9079.433227765,9327.054133977,9327.054133977,16649.0
2009-10-22,9327.054133977,9079.433227765,9354.567568001,9354.567568001,17999.0
2009-10-23,9354.567568001,9217.000397883,9794.782512377,9492.134738118,30749.0
2009-10-27,8996.892925695,8419.1108112,9354.567568001,9354.567568001,28349.0
2009-10-29,8804.29888753,8419.1108112,8804.29888753,8749.272019483,17999.0
2009-10-30,8749.272019483,8529.164547295,9106.946661789,8529.164547295,2399.0
2009-11-06,7786.301828659,7428.627186353,8254.030207059,7428.627186353,10499.0
2009-11-11,7153.492846118,7070.952544047,7208.519714165,7208.519714165,3749.0
2009-11-13,7566.194356471,7428.627186353,7676.248092565,7428.627186353,18149.0
2009-11-16,7428.627186353,6960.898807953,7566.194356471,6960.898807953,35999.0
2009-11-18,7070.952544047,7043.439110024,7373.600318306,7346.086884283,5399.0
2009-11-24,6740.791335765,6740.791335765,6905.871939906,6740.791335765,10499.0
2009-11-27,6025.442051153,5667.767408847,6190.522655294,6052.955485177,11249.0
2009-12-04,6768.304769789,6603.224165647,6823.331637836,6603.224165647,1649.0
2009-12-07,6603.224165647,6465.65699553,6988.412241977,6465.65699553,1649.0
2009-12-10,6273.062957365,6107.982353224,6328.089825412,6328.089825412,8699.0
2009-12-15,6052.955485177,6052.955485177,6052.955485177,6052.955485177,4199.0
2009-12-16,6052.955485177,6052.955485177,6052.955485177,6052.955485177,149.0
2009-12-21,6410.630127483,6328.089825412,6438.143561506,6438.143561506,749.0
2009-12-24,6247.315724688,6247.315724688,6474.490841949,6474.490841949,3599.0
2009-12-28,6389.300172976,6332.506393661,6389.300172976,6389.300172976,1199.0
2009-12-31,6247.315724688,6133.728166057,6304.109504003,6218.91883503,5099.0
2010-01-06,6815.253517841,6559.681510922,6815.253517841,6559.681510922,4949.0
2010-01-07,6559.681510922,6531.284621264,6673.269069553,6673.269069553,7799.0
2010-01-11,6247.315724688,6247.315724688,6531.284621264,6531.284621264,3749.0
2010-01-13,6133.728166057,6133.728166057,6247.315724688,6247.315724688,6899.0
2010-01-14,6247.315724688,6133.728166057,6247.315724688,6247.315724688,8549.0
2010-01-20,7496.778869625,7099.222414418,7667.160207571,7241.206862706,45599.0
2010-01-21,7241.206862706,6957.237966129,7354.794421337,7184.413083391,37499.0
2010-01-22,7184.413083391,7184.413083391,7326.397531679,7326.397531679,23099.0
2010-01-25,7326.397531679,7184.413083391,7383.191310994,7326.397531679,24149.0
2010-01-26,7326.397531679,7326.397531679,7468.381979967,7383.191310994,34349.0
2010-01-27,7383.191310994,7269.603752364,7411.588200652,7269.603752364,22349.0
2010-01-28,7269.603752364,6900.444186814,7525.175759283,7127.619304075,8849.0
2010-02-03,6815.253517841,6815.253517841,7014.031745445,7014.031745445,7799.0
2010-02-11,7099.222414418,7099.222414418,7099.222414418,7099.222414418,149.0
2010-02-12,7099.222414418,6644.872179895,7241.206862706,6644.872179895,299.0
2010-02-24,6872.047297156,6872.047297156,6872.047297156,6872.047297156,749.0
2010-02-26,6531.284621264,6531.284621264,6872.047297156,6872.047297156,7199.0
2010-03-01,6872.047297156,6588.07840058,6957.237966129,6588.07840058,449.0
2010-03-05,6957.237966129,6957.237966129,6957.237966129,6957.237966129,149.0
2010-03-08,6957.237966129,6957.237966129,6985.634855787,6957.237966129,11999.0
