Date,Price Open,Price Low,Price High,Price Close,Volume
2006-12-18,1558.963564479,1558.963564479,1558.963564479,1558.963564479,7939.0
2006-12-29,3179.465164397,2943.569361877,3579.462394757,3179.465164397,41166.0
2007-01-04,2769.211594797,2564.084809998,3046.132754277,2564.084809998,35285.0
2007-01-08,2820.493290997,2820.493290997,3097.414450477,3097.414450477,11761.0
2007-01-19,2871.774987197,2820.493290997,2871.774987197,2820.493290997,13232.0
2007-01-25,3076.901771997,2871.774987197,3107.670789717,3076.901771997,5880.0
2007-02-02,2851.262308717,2769.211594797,3128.183468197,3128.183468197,29404.0
2007-02-05,3128.183468197,3076.901771997,3282.028556797,3282.028556797,24406.0
2007-02-08,3179.465164397,3076.901771997,3179.465164397,3179.465164397,15584.0
2007-02-09,3179.465164397,3076.901771997,3179.465164397,3076.901771997,4116.0
2007-02-12,3076.901771997,3076.901771997,3076.901771997,3076.901771997,2646.0
2007-02-14,3066.645432757,2974.338379597,3076.901771997,3076.901771997,9703.0
2007-02-15,3076.901771997,3076.901771997,3128.183468197,3128.183468197,5586.0
2007-02-26,3128.183468197,3128.183468197,3425.617306157,3425.617306157,8233.0
2007-02-27,3425.617306157,3282.028556797,3528.180698557,3528.180698557,11173.0
2007-03-02,4133.304713716,4102.535695996,4358.944176996,4307.662480796,37050.0
2007-03-05,4307.662480796,4307.662480796,4410.225873196,4410.225873196,32933.0
2007-03-06,4410.225873196,4205.099088396,4574.327301036,4512.789265596,49988.0
2007-03-07,4512.789265596,4410.225873196,4769.197746596,4769.197746596,41754.0
2007-03-13,6071.752830074,5466.628814915,6676.876845234,6256.366936394,29992.0
2007-03-14,6256.366936394,5723.037295915,6564.057113594,5723.037295915,15878.0
2007-03-16,5630.730242755,5076.887923795,5846.113366795,5846.113366795,45577.0
2007-03-20,5640.986581995,5076.887923795,6153.803543994,5743.549974395,19995.0
2007-03-21,5743.549974395,5589.704885795,6051.240151594,5589.704885795,37638.0
2007-03-22,5589.704885795,5401.72546296,5713.363470438,5401.72546296,14408.0
2007-03-26,5038.147787568,4570.690776351,5193.966791308,4570.690776351,24994.0
2007-04-09,4477.199374107,4362.932104698,4477.199374107,4466.811440524,12938.0
2007-04-10,4466.811440524,4373.320038281,4778.449448003,4778.449448003,3528.0
2007-04-19,4310.992436785,4310.992436785,4570.690776351,4310.992436785,2646.0
2007-05-02,4259.052768872,4259.052768872,4259.052768872,4259.052768872,2940.0
2007-05-03,4259.052768872,4155.173433046,4362.932104698,4362.932104698,2352.0
2007-05-17,3479.957750176,3428.018082263,3479.957750176,3428.018082263,6175.0
2007-05-18,3428.018082263,3220.259410611,3428.018082263,3428.018082263,3234.0
2007-05-21,3428.018082263,3324.138746437,3479.957750176,3479.957750176,3528.0
2007-05-29,4082.457897968,4051.29409722,4124.009632298,4051.29409722,2646.0
2007-06-04,5329.009927882,4986.208119655,5858.794540595,5193.966791308,117913.0
2007-06-07,4882.328783829,4882.328783829,5193.966791308,4986.208119655,29110.0
2007-06-08,4986.208119655,4986.208119655,5245.906459221,5193.966791308,28522.0
2007-06-11,5193.966791308,5193.966791308,5193.966791308,5193.966791308,1470.0
2007-06-14,4778.449448003,4778.449448003,5038.147787568,5038.147787568,588.0
2007-06-19,4414.871772611,4155.173433046,4435.647639777,4362.932104698,7939.0
2007-06-25,4279.828636037,4259.052768872,4362.932104698,4362.932104698,1470.0
2007-06-26,4362.932104698,4259.052768872,4466.811440524,4414.871772611,10879.0
2007-06-28,4362.932104698,4269.440702455,4466.811440524,4362.932104698,8233.0
2007-06-29,4362.932104698,4155.173433046,4362.932104698,4155.173433046,5880.0
2007-07-11,4155.173433046,4155.173433046,4259.052768872,4259.052768872,13526.0
2007-07-17,4103.233765133,4061.682030803,4155.173433046,4061.682030803,7645.0
2007-07-19,4134.397565881,4082.457897968,4155.173433046,4103.233765133,8233.0
2007-07-24,4103.233765133,4103.232818233,4155.838367185,4103.232818233,2058.0
2007-07-25,4103.232818233,3787.599524523,4103.232818233,3998.02172033,2058.0
2007-07-30,3998.02172033,3998.02172033,3998.02172033,3998.02172033,294.0
2007-08-01,3998.02172033,3840.205073475,4019.06393991,4019.06393991,4116.0
2007-08-08,3892.810622426,3892.810622426,3998.02172033,3998.02172033,7351.0
2007-08-13,3808.641744104,3471.966230813,4176.880586765,4176.880586765,1176.0
2007-08-16,3913.852842007,3913.852842007,3913.852842007,3913.852842007,4998.0
2007-08-22,3577.177328716,3187.896266473,3577.177328716,3556.135109135,7939.0
2007-08-28,3661.346207039,3577.177328716,3682.388426619,3629.782877668,14702.0
2007-08-29,3629.782877668,3577.177328716,3724.472865781,3577.177328716,6175.0
2007-09-04,3787.599524523,3787.599524523,3787.599524523,3787.599524523,588.0
2007-09-05,3787.599524523,3787.599524523,3787.599524523,3787.599524523,3528.0
2007-09-06,3787.599524523,3787.599524523,3787.599524523,3787.599524523,3528.0
2007-09-07,3787.599524523,3787.599524523,4166.359476975,3945.416171378,7645.0
2007-09-11,4366.260562992,4103.232818233,4608.246088169,4103.232818233,35873.0
2007-09-12,4103.232818233,3998.02172033,4218.965025927,3998.02172033,29698.0
2007-09-13,3998.02172033,3734.993975571,4155.838367185,3840.205073475,42343.0
2007-09-14,3840.205073475,3787.599524523,3945.416171378,3787.599524523,14114.0
2007-09-17,3787.599524523,3682.388426619,3840.205073475,3734.993975571,28228.0
2007-09-24,3884.393429597,3826.84686027,3884.393429597,3884.393429597,15697.0
2007-09-25,3884.393429597,3870.006787265,4244.059487893,4244.059487893,27310.0
