Date,Price Open,Price Low,Price High,Price Close,Volume
2009-12-15,14269.439310561,12265.9936767,16272.884944422,16272.884944422,592064.0
2009-12-17,13083.72658848,12511.313550234,13410.819753192,12838.406714946,122725.0
2009-12-22,14228.552664972,14228.552664972,14882.738994396,14555.645829684,263631.0
2009-12-23,14555.645829684,13819.686209082,15209.832159108,15128.05886793,277151.0
2009-12-24,15128.05886793,14719.19241204,15536.92532382,15536.92532382,201045.0
2009-12-25,15536.92532382,15536.92532382,16272.884944422,16272.884944422,432043.0
2009-12-28,16272.884944422,15536.92532382,17172.39114738,16845.297982668,283328.0
2009-12-29,16845.297982668,16354.6582356,17172.39114738,16354.6582356,143587.0
2009-12-30,16354.6582356,16191.111653244,17335.937729736,17335.937729736,315146.0
2009-12-31,17335.937729736,17172.39114738,18153.670641516,18153.670641516,502788.0
2010-01-04,18153.670641516,18153.670641516,19298.496718008,19298.496718008,357802.0
2010-01-06,20525.096085678,19625.58988272,21915.242035704,19952.683047432,240322.0
2010-01-07,19952.683047432,18971.403553296,20279.776212144,18971.403553296,282512.0
2010-01-08,18971.403553296,17990.12405916,20361.549503322,18807.85697094,241837.0
2010-01-11,18807.85697094,18071.897350338,19952.683047432,18071.897350338,410831.0
2010-01-13,16927.071273846,15864.018488532,17990.12405916,17499.484312092,226686.0
2010-01-14,17499.484312092,16845.297982668,17744.804185626,17744.804185626,279249.0
2010-01-15,17744.804185626,17172.39114738,18726.083679762,17744.804185626,149298.0
2010-01-18,17744.804185626,16599.978109134,18480.763806228,16681.751400312,220275.0
2010-01-19,16681.751400312,15864.018488532,17499.484312092,17172.39114738,242420.0
2010-01-20,17172.39114738,16191.111653244,17826.577476804,16191.111653244,78203.0
2010-01-21,16191.111653244,15536.92532382,16763.52469149,15618.698614998,215497.0
2010-01-22,15618.698614998,14882.738994396,16354.6582356,15945.79177971,146267.0
2010-01-25,15945.79177971,15864.018488532,16272.884944422,15945.79177971,86478.0
2010-01-27,17172.39114738,15945.79177971,17663.030894448,16845.297982668,108972.0
2010-01-29,16191.111653244,15864.018488532,16436.431526778,16191.111653244,48250.0
2010-02-01,16191.111653244,15864.018488532,16272.884944422,15864.018488532,66782.0
2010-02-02,15864.018488532,15618.698614998,16354.6582356,15945.79177971,133097.0
2010-02-03,15945.79177971,15536.92532382,16272.884944422,16109.338362066,92189.0
2010-02-05,17172.39114738,15945.79177971,17417.711020914,16354.6582356,139274.0
2010-02-08,16354.6582356,16354.6582356,17008.844565024,16681.751400312,86362.0
2010-02-09,16681.751400312,16109.338362066,16763.52469149,16354.6582356,133680.0
2010-02-10,16354.6582356,16354.6582356,17008.844565024,16518.204817956,83914.0
2010-02-11,16518.204817956,16354.6582356,17008.844565024,16763.52469149,174938.0
2010-02-12,16763.52469149,16763.52469149,17090.617856202,16927.071273846,105359.0
2010-02-22,16927.071273846,16763.52469149,17663.030894448,16927.071273846,55709.0
2010-02-24,16109.338362066,15618.698614998,16518.204817956,16272.884944422,164915.0
2010-02-25,16272.884944422,16027.565070888,16599.978109134,16272.884944422,81700.0
2010-02-26,16272.884944422,16272.884944422,16599.978109134,16354.6582356,73541.0
2010-03-01,16354.6582356,16354.6582356,16845.297982668,16436.431526778,94287.0
2010-03-02,16436.431526778,16027.565070888,16518.204817956,16191.111653244,144519.0
2010-03-03,16191.111653244,15945.79177971,16845.297982668,16681.751400312,310950.0
2010-03-05,16927.071273846,16518.204817956,17581.25760327,17172.39114738,146850.0
2010-03-09,18317.217223872,17990.12405916,19462.043300364,18153.670641516,300927.0
2010-03-10,18153.670641516,17499.484312092,18317.217223872,17581.25760327,258969.0
2010-03-11,17581.25760327,17254.164438558,17908.350767982,17254.164438558,154426.0
2010-03-12,17254.164438558,17008.844565024,17581.25760327,17417.711020914,258503.0
2010-03-15,17417.711020914,17008.844565024,17990.12405916,17090.617856202,271906.0
2010-03-17,18398.99051505,17908.350767982,19462.043300364,18235.443932694,389620.0
2010-03-18,18235.443932694,17826.577476804,18644.310388584,18480.763806228,390436.0
2010-03-19,18480.763806228,17990.12405916,18807.85697094,18071.897350338,265496.0
2010-03-22,18071.897350338,17335.937729736,18398.99051505,17581.25760327,278083.0
2010-03-24,17172.39114738,17008.844565024,17581.25760327,17499.484312092,172724.0
2010-03-26,16272.884944422,15455.152032642,16681.751400312,15945.79177971,165032.0
2010-03-29,15945.79177971,15455.152032642,16354.6582356,15864.018488532,137643.0
2010-03-30,15864.018488532,15046.285576752,16272.884944422,15373.378741464,177036.0
2010-03-31,15373.378741464,14392.099247328,15455.152032642,14800.965703218,249645.0
2010-04-01,14800.965703218,14473.872538506,15209.832159108,15046.285576752,218061.0
2010-04-02,15046.285576752,14310.32595615,15046.285576752,14719.19241204,592996.0
2010-04-05,14719.19241204,14719.19241204,15536.92532382,15536.92532382,552554.0
2010-04-06,15536.92532382,15373.378741464,16272.884944422,15618.698614998,565840.0
2010-04-07,15618.698614998,15455.152032642,16272.884944422,15536.92532382,466891.0
2010-04-09,16027.565070888,15782.245197354,16191.111653244,15864.018488532,278200.0
2010-04-13,16191.111653244,16027.565070888,16927.071273846,16191.111653244,1246248.0
2010-04-16,17172.39114738,16599.978109134,17744.804185626,17090.617856202,1046951.0
2010-04-19,17090.617856202,16436.431526778,17335.937729736,16763.52469149,786000.0
2010-04-20,16763.52469149,16027.565070888,16845.297982668,16191.111653244,672948.0
2010-04-21,16191.111653244,15700.471906176,16518.204817956,16272.884944422,600688.0
2010-04-27,17417.711020914,17008.844565024,17581.25760327,17090.617856202,588684.0
2010-04-28,17090.617856202,17008.844565024,17663.030894448,17417.711020914,1218859.0
2010-04-29,17417.711020914,17090.617856202,17499.484312092,17172.39114738,409666.0
2010-05-04,17172.39114738,17172.39114738,17744.804185626,17417.711020914,657098.0
